INFORMAÇÕES SOBRE A DEMANDA - OUTUBRO/2018;;;;;
;;;;;
PASSAGEIROS TRANSPORTADOS POR LINHA¹;;;;;
;;;;;
DEMANDA (milhares);Linha 1-Azul ;Linha 2-Verde;Linha 3-Vermelha;Linha 15 - Prata ;Rede
Total;38.308;18.431;38.145;498;95.383
Média dos dias úteis ;1.477;731;1.460;22;3.690
Média dos Sábados ;836;326;854;-;2.016
Média dos Domingos ;482;204;505;4;1.194
Máxima Diária ;1.524;771;1.527;25;3.799
¹ Corresponde à soma das entradas pela linha de bloqueios com as transferências entre linhas nas estações Sé, Paraíso, Ana Rosa e Vila Prudente;;;;;
A partir de 04/08/18, a Linha 5-Lilás passou a ser operada em regime de concessão pela Via Mobilidade.;;;;;
Fonte: Diretoria de Operações / Coordenadoria de Informações Gerenciais e Estudos Estratégicos - 22/11/2018;;;;;
