INFORMAÇÕES SOBRE A DEMANDA - OUTUBRO/2018;;;;;;;
;;;;;;;
DEMANDA DE PASSAGEIROS POR ESTAÇÃO*  -  MÉDIA DOS DIAS ÚTEIS (em milhares);;;;;;;
;;;;;;;
Linha 1 - Azul  ;;Linha 2 - Verde  ;;Linha 3 - Vermelha  ;;Linha 15 - Prata;
Estação ;Entradas ;Estação ;Entradas;Estação ;Entradas;Estação ;Entradas
Jabaquara;92;Vila Prudente5;57;Corinthians-Itaquera;99;Vila Prudente6;13
Conceição ;43;Tamanduateí;74;Artur Alvim;70;Oratório;9
São Judas ;20;Sacomã;43;Patriarca ;26;- ;-
Saúde ;38;Alto do Ipiranga ;22;Guilhermina-Esperança ;26;- ;-
Praça da Árvore ;23;Santos-Imigrantes ;16;Vila Matilde ;32;- ;-
Santa Cruz;92;Chácara Klabin ;34;Penha ;38;- ;-
Vila Mariana ;31;Ana Rosa²;85;Carrão ;61;- ;-
Ana Rosa¹;93;Paraíso²;78;Tatuapé;93;- ;-
Paraíso¹;121;Brigadeiro ;61;Belém ;48;- ;-
Vergueiro ;33;Trianon-Masp ;57;Bresser-Moóca ;47;- ;-
São Joaquim ;53;Consolação;135;Brás;100;- ;-
Liberdade ;30;Clínicas ;27;Pedro II ;26;- ;-
Sé³;254;Santuário N.S. de Fátima-Sumaré ;15;Sé4;281;- ;-
São Bento;77;Vila Madalena;28;Anhangabaú;78;- ;-
Luz;178;- ;- ;República;151;- ;-
Tiradentes ;19;- ;- ;Santa Cecília ;32;- ;-
Armênia ;30;- ;- ;Marechal Deodoro ;37;- ;-
Portuguesa-Tietê ;64;- ;- ;Palmeiras-Barra Funda;216;- ;-
Carandiru ;16;- ;- ;- ;- ;- ;-
Santana ;68;- ;- ;- ;- ;- ;-
Jardim São Paulo-Ayrton Senna;15;- ;- ;- ;- ;- ;-
Parada Inglesa ;17;- ;- ;- ;- ;- ;-
Tucuruvi ;72;- ;-;- ;- ;- ;-
TOTAL;1.477;TOTAL;731;TOTAL;1.460;TOTAL;22
*Corresponde à soma das entradas pelas linhas de bloqueios com as transferências entre linhas nas Estações Sé, Paraíso, Ana Rosa e Vila Prudente.;;;;;;;
¹ Corresponde à soma dos usuários que embarcaram na Linha 1-Azul com as transferências da Linha 2-Verde;;;;;;;
² Corresponde à soma dos usuários que embarcaram na Linha 2-Verde com as transferências da Linha 1-Azul;;;;;;;
3 Corresponde à soma dos usuários que embarcaram na Linha 1-Azul com as transferências da Linha 3-Vermelha;;;;;;;
4 Corresponde à soma dos usuários que embarcaram na Linha 3-Vermelha com as transferências da Linha 1-Azul;;;;;;;
5 Corresponde à soma dos usuários que embarcaram na Linha 2-Verde com as transferências da Linha 15-Prata;;;;;;;
6 Corresponde à soma dos usuários que embarcaram na Linha 15-Prata com as transferências da Linha 2-Verde;;;;;;;
            Dez estações de maior movimento (Considerou-se a somatória dos valores das estações Paraíso e Ana Rosa);;;;;;;
A partir de 04/08/2018, a Linha 5-Lilás passou a ser operada em regime de concessão pela Via Mobilidade.;;;;;;;
Fonte: Diretoria de Operações / Coordenadoria de Informações Gerenciais e Estudos Estratégicos - 22/11/2018;;;;;;;
