INFORMAÇÕES SOBRE A DEMANDA - AGOSTO/2019;;;;;
;;;;;
ENTRADA DE PASSAGEIROS POR LINHA¹;;;;;
;;;;;
DEMANDA (milhares);Linha 1-Azul ;Linha 2-Verde;Linha 3-Vermelha;Linha 15-Prata ;Rede
Total;27.683;15.461;31.037;1.139;75.320
Média dos dias úteis ;1.071;614;1.187;46;2.918
Média dos Sábados ;578;263;681;15;1.536
Média dos Domingos ;306;161;382;10;860
Máxima Diária ;1.105;634;1.216;51;2.993
¹ Corresponde às entradas pelas linhas de bloqueios;;;;;
;;;;;
Fonte: Diretoria de Operações / Coordenadoria de Informações Gerenciais e Estudos Estratégicos - 09/09/2019;;;;;
