INFORMAÇÕES SOBRE A DEMANDA - AGOSTO/2019;;;;;;;
;;;;;;;
DEMANDA DE PASSAGEIROS POR ESTAÇÃO* -  MÉDIA DOS DIAS ÚTEIS (em milhares);;;;;;;
;;;;;;;
Linha 1 - Azul  ;;Linha 2 - Verde  ;;Linha 3 - Vermelha  ;;Linha 15 - Prata;
Estação ;Entradas ;Estação ;Entradas;Estação ;Entradas;Estação ;Entradas
Jabaquara;89;Vila Prudente5;69;Corinthians-Itaquera;96;Vila Prudente6;49
Conceição ;41;Tamanduateí;61;Artur Alvim;67;Oratório;6
São Judas ;21;Sacomã;46;Patriarca ;26;São Lucas;5
Saúde ;37;Alto do Ipiranga ;22;Guilhermina-Esperança ;25;Camilo Haddad;4
Praça da Árvore ;23;Santos-Imigrantes ;17;Vila Matilde ;31;Vila Tolstói;5
Santa Cruz;117;Chácara Klabin ;76;Penha ;37;Vila União;12
Vila Mariana ;29;Ana Rosa²;83;Carrão ;61;Jardim Planalto;8
Ana Rosa¹;96;Paraíso²;76;Tatuapé;91;- ;-
Paraíso¹;126;Brigadeiro ;64;Belém ;47;- ;-
Vergueiro ;33;Trianon-Masp ;59;Bresser-Moóca ;44;- ;-
São Joaquim ;50;Consolação;141;Brás;98;- ;-
Liberdade ;29;Clínicas ;27;Pedro II ;24;- ;-
Sé³;246;Santuário N.S. de Fátima-Sumaré ;15;Sé4;276;- ;-
São Bento;71;Vila Madalena;28;Anhangabaú;69;- ;-
Luz;150;- ;-;República;154;- ;-
Tiradentes ;19;- ;-;Santa Cecília ;32;- ;-
Armênia ;29;- ;-;Marechal Deodoro ;37;- ;-
Portuguesa-Tietê ;61;- ;-;Palmeiras-Barra Funda;211;- ;-
Carandiru ;16;- ;-;- ;- ;- ;-
Santana ;66;- ;-;- ;- ;- ;-
Jardim São Paulo-Ayrton Senna;16;- ;-;- ;- ;- ;-
Parada Inglesa ;17;- ;-;- ;- ;- ;-
Tucuruvi ;72;- ;-;- ;- ;- ;-
TOTAL;1454;TOTAL;785;TOTAL;1.424;TOTAL;82
*Corresponde à soma das entradas pelas linhas de bloqueios com as transferências entre linhas nas Estações Sé, Paraíso, Ana Rosa e Vila Prudente.;;;;;;;
¹ Corresponde à soma dos usuários que embarcaram na Linha 1-Azul com as transferências da Linha 2-Verde;;;;;;;
² Corresponde à soma dos usuários que embarcaram na Linha 2-Verde com as transferências da Linha 1-Azul;;;;;;;
3 Corresponde à soma dos usuários que embarcaram na Linha 1-Azul com as transferências da Linha 3-Vermelha;;;;;;;
4 Corresponde à soma dos usuários que embarcaram na Linha 3-Vermelha com as transferências da Linha 1-Azul;;;;;;;
5 Corresponde à soma dos usuários que embarcaram na Linha 2-Verde com as transferências da Linha 15-Prata;;;;;;;
6 Corresponde à soma dos usuários que embarcaram na Linha 15-Prata com as transferências da Linha 2-Verde;;;;;;;
            Dez estações de maior movimento (Considerou-se a somatória dos valores das estações Paraíso e Ana Rosa);;;;;;;
;;;;;;;
Fonte: Diretoria de Operações / Coordenadoria de Informações Gerenciais e Estudos Estratégicos - 09/09/2019;;;;;;;
