INFORMAÇÕES SOBRE A DEMANDA - AGOSTO/2020;;;;;;
;;;;;;
ENTRADA DE PASSAGEIROS POR LINHA¹ ²;;;;;;
;;;;;;
DEMANDA (milhares);Linha 1-Azul ;Linha 2-Verde;Linha 3-Vermelha;Linha 15-Prata;Rede;
Total;10.372;5.450;13.451;799;30.071;
Média dos dias úteis ;406;218;522;31;1.177;
Média dos Sábados ;253;114;329;20;715;
Média dos Domingos ;117;61;169;10;356;
Máxima Diária ;438;229;565;34;1.265;
¹ Corresponde às entradas pelas linhas de bloqueios;;;;;;
² Demanda reduzida devido à pandemia do novo Coronavírus anunciada pela Organização Mundial da Saúde em 11/03;;;;;;
Fonte: Diretoria de Operações / Coordenadoria de Informações Gerenciais e Estudos Estratégicos - 30/09/2020;;;;;;
;;;;;;
