INFORMAÇÕES SOBRE A DEMANDA - OUTUBRO/2020;;;;;;;;
;;;;;;;;
DEMANDA DE PASSAGEIROS POR ESTAÇÃO* -  MÉDIA DOS DIAS ÚTEIS (em milhares) **;;;;;;;;
;;;;;;;;
Linha 1 - Azul  ;;Linha 2 - Verde  ;;Linha 3 - Vermelha  ;;Linha 15 - Prata;;
Estação ;Entradas ;Estação ;Entradas;Estação ;Entradas;Estação ;Entradas;
Jabaquara;48;Vila Prudente5;40;Corinthians-Itaquera;54;Vila Prudente6;30;
Conceição ;15;Tamanduateí;38;Artur Alvim;38;Oratório;3;
São Judas ;9;Sacomã;24;Patriarca ;13;São Lucas;3;
Saúde ;16;Alto do Ipiranga ;9;Guilhermina-Esperança ;13;Camilo Haddad;2;
Praça da Árvore ;10;Santos-Imigrantes ;8;Vila Matilde ;16;Vila Tolstói;3;
Santa Cruz;60;Chácara Klabin ;39;Penha ;18;Vila União;3;
Vila Mariana ;10;Ana Rosa²;37;Carrão ;25;Jardim Planalto;2;
Ana Rosa¹;41;Paraíso²;38;Tatuapé;51;Sapopemba;5;
Paraíso¹;49;Brigadeiro ;25;Belém ;25;Fazenda da Juta;2;
Vergueiro ;15;Trianon-Masp ;21;Bresser-Moóca ;21;São Mateus;11;
São Joaquim ;13;Consolação;50;Brás;72;- ;- ;
Liberdade ;12;Clínicas ;13;Pedro II ;14;- ;- ;
Sé³;122;Santuário N.S. de Fátima-Sumaré ;5;Sé4;126;- ;- ;
São Bento;39;Vila Madalena;10;Anhangabaú;31;- ;- ;
Luz;70;- ;- ;República;74;- ;- ;
Tiradentes ;8;- ;- ;Santa Cecília ;16;- ;- ;
Armênia ;14;- ;- ;Marechal Deodoro ;18;- ;- ;
Portuguesa-Tietê ;30;- ;- ;Palmeiras-Barra Funda;96;- ;- ;
Carandiru ;6;- ;- ;- ;-;- ;- ;
Santana ;33;- ;- ;- ;-;- ;- ;
Jardim São Paulo-Ayrton Senna;6;- ;- ;- ;-;- ;- ;
Parada Inglesa ;7;- ;- ;- ;-;- ;- ;
Tucuruvi ;37;- ;- ;- ;-;- ;- ;
TOTAL;668;TOTAL;356;TOTAL;722;TOTAL;64;
*Corresponde à soma das entradas pelas linhas de bloqueios com as transferências entre linhas nas Estações Sé, Paraíso, Ana Rosa e Vila Prudente.;;;;;;;;
¹ Corresponde à soma dos usuários que embarcaram na Linha 1-Azul com as transferências da Linha 2-Verde;;;;;;;;
² Corresponde à soma dos usuários que embarcaram na Linha 2-Verde com as transferências da Linha 1-Azul;;;;;;;;
3 Corresponde à soma dos usuários que embarcaram na Linha 1-Azul com as transferências da Linha 3-Vermelha;;;;;;;;
4 Corresponde à soma dos usuários que embarcaram na Linha 3-Vermelha com as transferências da Linha 1-Azul;;;;;;;;
5 Corresponde à soma dos usuários que embarcaram na Linha 2-Verde com as transferências da Linha 15-Prata;;;;;;;;
6 Corresponde à soma dos usuários que embarcaram na Linha 15-Prata com as transferências da Linha 2-Verde;;;;;;;;
            Dez estações de maior movimento (Considerou-se a somatória dos valores das estações Paraíso e Ana Rosa);;;;;;;;
** Demanda reduzida devido à pandemia do novo Coronavírus anunciada pela Organização Mundial da Saúde em 11/03;;;;;;;;
Fonte: Diretoria de Operações / Coordenadoria de Informações Gerenciais e Estudos Estratégicos - 10/11/2020;;;;;;;;
