INFORMAÇÕES SOBRE A DEMANDA - AGOSTO/2020;;;;;;;;
;;;;;;;;
DEMANDA DE PASSAGEIROS POR ESTAÇÃO* -  MÉDIA DOS DIAS ÚTEIS (em milhares) **;;;;;;;;
;;;;;;;;
Linha 1 - Azul  ;;Linha 2 - Verde  ;;Linha 3 - Vermelha  ;;Linha 15 - Prata;;
Estação ;Entradas ;Estação ;Entradas;Estação ;Entradas;Estação ;Entradas;
Jabaquara;39;Vila Prudente5;33;Corinthians-Itaquera;47;Vila Prudente6;25;
Conceição ;13;Tamanduateí;34;Artur Alvim;33;Oratório;3;
São Judas ;7;Sacomã;20;Patriarca ;11;São Lucas;2;
Saúde ;13;Alto do Ipiranga ;8;Guilhermina-Esperança ;11;Camilo Haddad;1;
Praça da Árvore ;8;Santos-Imigrantes ;6;Vila Matilde ;13;Vila Tolstói;2;
Santa Cruz;49;Chácara Klabin ;32;Penha ;16;Vila União;3;
Vila Mariana ;8;Ana Rosa²;31;Carrão ;22;Jardim Planalto;2;
Ana Rosa¹;34;Paraíso²;32;Tatuapé;41;Sapopemba;4;
Paraíso¹;41;Brigadeiro ;20;Belém ;22;Fazenda da Juta;2;
Vergueiro ;13;Trianon-Masp ;16;Bresser-Moóca ;17;São Mateus;8;
São Joaquim ;11;Consolação;40;Brás;61;- ;- ;
Liberdade ;10;Clínicas ;12;Pedro II ;12;- ;- ;
Sé³;103;Santuário N.S. de Fátima-Sumaré ;4;Sé4;104;- ;- ;
São Bento;30;Vila Madalena;8;Anhangabaú;26;- ;- ;
Luz;57;- ;-;República;62;- ;- ;
Tiradentes ;7;- ;-;Santa Cecília ;14;- ;- ;
Armênia ;12;- ;-;Marechal Deodoro ;15;- ;- ;
Portuguesa-Tietê ;23;- ;-;Palmeiras-Barra Funda;82;- ;- ;
Carandiru ;5;- ;-;- ;-;- ;- ;
Santana ;29;- ;-;- ;-;- ;- ;
Jardim São Paulo-Ayrton Senna;5;- ;-;- ;-;- ;- ;
Parada Inglesa ;5;- ;-;- ;-;- ;- ;
Tucuruvi ;31;- ;-;- ;-;- ;- ;
TOTAL;553;TOTAL;295;TOTAL;610;TOTAL;52;
*Corresponde à soma das entradas pelas linhas de bloqueios com as transferências entre linhas nas Estações Sé, Paraíso, Ana Rosa e Vila Prudente.;;;;;;;;
¹ Corresponde à soma dos usuários que embarcaram na Linha 1-Azul com as transferências da Linha 2-Verde;;;;;;;;
² Corresponde à soma dos usuários que embarcaram na Linha 2-Verde com as transferências da Linha 1-Azul;;;;;;;;
3 Corresponde à soma dos usuários que embarcaram na Linha 1-Azul com as transferências da Linha 3-Vermelha;;;;;;;;
4 Corresponde à soma dos usuários que embarcaram na Linha 3-Vermelha com as transferências da Linha 1-Azul;;;;;;;;
5 Corresponde à soma dos usuários que embarcaram na Linha 2-Verde com as transferências da Linha 15-Prata;;;;;;;;
6 Corresponde à soma dos usuários que embarcaram na Linha 15-Prata com as transferências da Linha 2-Verde;;;;;;;;
            Dez estações de maior movimento (Considerou-se a somatória dos valores das estações Paraíso e Ana Rosa);;;;;;;;
** Demanda reduzida devido à pandemia do novo Coronavírus anunciada pela Organização Mundial da Saúde em 11/03;;;;;;;;
Fonte: Diretoria de Operações / Coordenadoria de Informações Gerenciais e Estudos Estratégicos - 30/09/2020;;;;;;;;
