INFORMAÇÕES SOBRE A DEMANDA - MARÇO/2020;;;;;
;;;;;
ENTRADA DE PASSAGEIROS POR LINHA¹ ²;;;;;
;;;;;
DEMANDA (milhares);Linha 1-Azul ;Linha 2-Verde;Linha 3-Vermelha;Linha 15-Prata *;Rede
Total;17.319;10.608;20.390;-;48.317
Média dos dias úteis ;679;423;790;-;1.892
Média dos Sábados ;337;176;418;-;930
Média dos Domingos ;206;121;266;-;593
Máxima Diária ;1.114;695;1.234;-;3.040
¹ Corresponde às entradas pelas linhas de bloqueios;;;;;
² Demanda reduzida devido à pandemia do novo Coronavírus anunciada pela Organização Mundial da Saúde em 11/03.;;;;;
* A Linha 15-Prata permaneceu fechada devido à inspeção da frota de trens motivada pelo rompimento de um pneu de uma composição;;;;;
Fonte: Diretoria de Operações / Coordenadoria de Informações Gerenciais e Estudos Estratégicos - 28/04/2020;;;;;
