INFORMAÇÕES SOBRE A DEMANDA - DEZEMBRO/2019;;;;;
;;;;;
PASSAGEIROS TRANSPORTADOS POR LINHA¹;;;;;
;;;;;
DEMANDA (milhares);Linha 1-Azul ;Linha 2-Verde;Linha 3-Vermelha;Linha 15 - Prata ;Rede
Total;32.888;17.616;33.225;1.953;85.682
Média dos dias úteis ;1.330;745;1.332;87;3.493
Média dos Sábados ;887;375;924;29;2.215
Média dos Domingos ;537;260;557;17;1.371
Máxima Diária ;1.500;844;1.479;96;3.906
¹ Corresponde à soma das entradas pela linha de bloqueios com as transferências entre linhas nas estações Sé, Paraíso, Ana Rosa e Vila Prudente;;;;;
Fonte: Diretoria de Operações / Coordenadoria de Informações Gerenciais e Estudos Estratégicos - 27/01/2020;;;;;
