,Station,January,February,March,April,May,June,July,August,September,October,November,December,Average,Line,Year
0,Jabaquara,46,48,40,39,45,46,48,51,55,57,61,59,50,1,2021
1,Conceição ,15,16,12,12,14,15,15,16,18,19,20,19,16,1,2021
2,São Judas ,9,9,7,7,8,9,9,10,10,11,12,11,9,1,2021
3,Saúde ,16,17,13,13,15,16,16,18,19,20,21,20,17,1,2021
4,Praça da Árvore ,9,10,8,8,9,9,10,11,11,12,13,12,10,1,2021
5,Santa Cruz,60,65,52,50,58,61,63,68,72,76,81,77,65,1,2021
6,Vila Mariana ,10,10,8,8,9,10,10,11,13,13,14,12,11,1,2021
7,Ana Rosa¹,40,43,35,33,39,41,42,47,51,53,57,53,45,1,2021
8,Paraíso¹,49,53,43,42,48,50,52,58,62,65,69,65,55,1,2021
9,Vergueiro ,15,17,14,13,15,16,15,17,18,19,20,18,16,1,2021
10,São Joaquim ,12,14,12,11,13,14,13,15,17,18,18,15,14,1,2021
11,Japão-Liberdade ,12,12,9,9,11,12,12,13,14,15,16,16,13,1,2021
12,Sé2,119,125,100,96,111,116,119,127,136,142,151,144,124,1,2021
13,São Bento,36,36,23,23,31,33,36,36,39,43,46,48,36,1,2021
14,Luz,70,74,57,58,68,69,69,74,89,96,106,99,77,1,2021
15,Tiradentes ,7,9,7,7,8,8,8,9,10,10,11,10,9,1,2021
16,Armênia ,14,15,12,12,14,14,15,15,16,17,18,16,15,1,2021
17,Portuguesa-Tietê ,31,29,23,22,26,27,29,31,34,36,41,41,31,1,2021
18,Carandiru ,6,6,5,5,6,6,6,7,7,8,9,8,7,1,2021
19,Santana ,33,35,28,27,32,32,33,36,39,40,43,40,35,1,2021
20,Jardim São Paulo-Ayrton Senna,6,6,5,4,5,6,6,7,7,8,9,8,6,1,2021
21,Parada Inglesa ,7,7,6,5,6,7,7,8,8,9,9,9,7,1,2021
22,Tucuruvi ,36,37,30,29,34,35,36,40,42,44,47,45,38,1,2021
23,Total,656,692,548,532,625,649,667,725,787,831,894,847,704,1,2021
24,Vila Prudente¹,40,43,36,35,40,40,44,49,53,54,58,54,46,2,2021
25,Tamanduateí,36,36,35,36,40,43,43,47,50,53,50,53,44,2,2021
