,Station,January,February,March,April,May,June,July,August,September,October,November,December,Average,Line,Year
26,Sacomã,23,25,21,20,23,24,25,27,29,30,32,30,26,2,2021
27,Alto do Ipiranga ,9,10,8,8,9,9,10,11,12,13,14,13,11,2,2021
28,Santos-Imigrantes ,8,8,7,7,8,8,8,9,10,10,11,10,9,2,2021
29,Chácara Klabin ,40,43,37,35,40,43,43,48,51,54,58,54,46,2,2021
30,Ana Rosa²,36,39,30,29,35,36,37,40,44,46,50,47,39,2,2021
31,Paraíso²,38,40,32,31,36,37,38,41,45,47,51,48,40,2,2021
32,Brigadeiro ,25,26,20,19,23,24,25,28,30,32,35,33,27,2,2021
33,Trianon-Masp ,21,22,17,16,19,20,21,24,26,28,30,29,23,2,2021
34,Consolação,49,53,40,38,44,47,50,55,60,64,70,65,53,2,2021
35,Clínicas ,13,14,12,12,13,13,13,14,15,15,16,15,14,2,2021
36,Santuário N.S. de Fátima-Sumaré ,5,5,4,4,4,5,5,5,6,6,7,6,5,2,2021
37,Vila Madalena,10,11,9,8,9,10,10,12,13,13,15,13,11,2,2021
38,Total,353,376,308,297,344,360,371,411,442,466,497,469,391,2,2021
39,Corinthians-Itaquera,54,56,46,45,52,53,53,58,60,62,66,66,56,3,2021
40,Artur Alvim,37,39,32,32,36,37,38,41,43,45,48,45,39,3,2021
41,Patriarca ,13,14,11,11,13,13,14,15,16,16,18,17,14,3,2021
42,Guilhermina-Esperança ,13,13,11,11,12,13,13,14,15,16,17,16,14,3,2021
43,Vila Matilde ,16,17,14,13,15,16,16,18,19,20,21,20,17,3,2021
44,Penha ,18,19,15,15,17,18,18,20,22,22,24,22,19,3,2021
45,Carrão ,26,28,23,22,25,26,27,30,32,33,36,32,28,3,2021
46,Tatuapé,50,52,41,40,47,49,51,53,57,61,64,65,53,3,2021
47,Belém ,25,27,23,22,24,25,25,27,28,29,31,29,26,3,2021
48,Bresser-Moóca ,19,21,17,16,19,19,20,21,23,24,26,23,21,3,2021
49,Brás,66,70,57,55,64,65,67,69,73,75,79,81,68,3,2021
50,Pedro II ,13,14,12,11,12,13,13,14,14,15,16,14,13,3,2021
51,Sé¹,123,129,101,98,116,121,124,135,146,155,166,157,131,3,2021
52,Anhangabaú,32,33,26,25,29,31,32,35,37,39,42,38,33,3,2021
53,República,72,76,58,56,67,70,73,79,84,89,96,90,76,3,2021
54,Santa Cecília ,16,17,14,14,16,16,16,18,19,19,21,19,17,3,2021
55,Marechal Deodoro ,18,19,16,15,17,17,18,20,21,22,23,21,19,3,2021
56,Palmeiras-Barra Funda,95,101,82,78,87,90,94,100,108,115,123,118,99,3,2021
57,Total,706,746,599,578,669,693,711,766,819,858,918,874,745,3,2021
58,Vila Prudente¹,31.0,31.0,27.0,26.0,29.0,28.0,35.0,38.0,41.0,42.0,45.0,41.0,35.0,15,2021
59,Oratório,3.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,5.0,4.0,4.0,15,2021
60,São Lucas,3.0,3.0,2.0,2.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,3.0,15,2021
61,Camilo Haddad,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,2.0,15,2021
62,Vila Tolstói,3.0,3.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,3.0,15,2021
63,Vila União,3.0,4.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,5.0,4.0,4.0,15,2021
64,Jardim Planalto,2.0,3.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,15,2021
65,Sapopemba,5.0,5.0,4.0,4.0,5.0,5.0,5.0,6.0,6.0,6.0,7.0,6.0,5.0,15,2021
66,Fazenda da Juta,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,2.0,15,2021
67,São Mateus,11.0,12.0,11.0,10.0,12.0,12.0,13.0,14.0,14.0,15.0,16.0,15.0,13.0,15,2021
68,Jardim Colonial,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15,2021
69,Total,66.0,68.0,59.0,57.0,64.0,65.0,73.0,80.0,85.0,88.0,95.0,86.0,74.0,15,2021
70,Jabaquara,53,58,63,66,66,64,64,66,67,69,69,64,64,1,2022
71,Conceição ,16,20,22,24,23,22,21,23,24,24,25,21,22,1,2022
72,São Judas ,10,11,13,14,13,13,13,13,14,15,14,13,13,1,2022
73,Saúde ,18,22,24,25,25,24,23,25,26,26,27,23,24,1,2022
74,Praça da Árvore ,10,12,14,14,14,14,13,15,14,15,15,13,14,1,2022
75,Santa Cruz,66,77,84,89,88,86,84,89,90,91,91,82,85,1,2022
76,Vila Mariana ,11,15,18,19,19,17,14,19,19,19,19,14,17,1,2022
77,Ana Rosa¹,46,57,65,68,68,66,62,70,71,71,72,60,65,1,2022
78,Paraíso¹,57,69,80,84,84,81,77,87,89,89,90,75,80,1,2022
79,Vergueiro ,16,21,23,24,24,22,21,25,25,25,25,21,23,1,2022
80,São Joaquim ,14,18,23,24,24,22,18,25,28,29,28,19,23,1,2022
81,Japão-Liberdade ,14,16,18,20,19,18,20,20,20,21,20,20,19,1,2022
82,Sé2,125,145,164,168,165,161,155,165,168,170,173,154,159,1,2022
83,São Bento,38,42,44,47,46,46,46,46,47,52,53,52,47,1,2022
84,Luz,86,100,108,114,115,111,111,117,119,127,126,113,112,1,2022
85,Tiradentes ,8,13,15,15,15,14,12,15,16,15,15,11,14,1,2022
86,Armênia ,15,17,19,21,21,20,19,20,21,20,21,17,19,1,2022
87,Portuguesa-Tietê ,35,36,40,43,42,41,44,42,44,44,43,44,42,1,2022
88,Carandiru ,7,9,10,10,10,10,9,10,11,10,11,9,10,1,2022
89,Santana ,35,38,45,47,47,43,44,47,48,48,49,43,45,1,2022
90,Jardim São Paulo-Ayrton Senna,7,8,10,10,10,10,9,10,11,11,11,9,10,1,2022
91,Parada Inglesa ,7,9,10,11,11,11,10,11,11,12,12,10,10,1,2022
92,Tucuruvi ,39,46,50,53,52,51,49,53,54,55,55,49,51,1,2022
93,Total,733,860,963,1.008,1.003,967,938,1.015,1.035,1.059,1.062,934,964,1,2022
94,Vila Prudente¹,48,57,62,67,66,65,64,68,71,69,70,61,64,2,2022
95,Tamanduateí,47,54,60,64,64,63,59,65,66,68,69,60,62,2,2022
96,Sacomã,26,31,35,36,36,35,34,37,38,38,38,33,35,2,2022
97,Alto do Ipiranga ,11,14,16,17,17,16,15,17,17,17,18,14,16,2,2022
98,Santos-Imigrantes ,9,10,11,12,12,12,11,12,12,13,13,11,12,2,2022
99,Chácara Klabin ,48,57,64,66,67,66,64,70,72,72,71,52,64,2,2022
100,Ana Rosa²,41,48,54,56,56,54,52,57,57,59,59,52,54,2,2022
101,Paraíso²,42,49,56,58,84,56,53,59,60,61,61,53,58,2,2022
102,Brigadeiro ,28,34,39,42,42,41,41,44,44,45,46,40,41,2,2022
103,Trianon-Masp ,24,30,37,39,40,38,36,41,42,43,42,35,37,2,2022
104,Consolação,55,67,83,86,87,82,79,89,92,93,95,78,82,2,2022
105,Clínicas ,13,16,18,19,19,18,17,19,19,19,19,16,18,2,2022
106,Santuário N.S. de Fátima-Sumaré ,5,7,8,8,9,8,8,9,9,9,9,8,8,2,2022
107,Vila Madalena,11,15,17,18,18,17,16,18,18,19,19,16,17,2,2022
108,Total,408,491,560,588,590,570,548,605,619,625,629,530,563,2,2022
109,Corinthians-Itaquera,56,66,80,75,73,72,69,73,73,74,75,68,71,3,2022
110,Artur Alvim,39,47,51,52,53,51,49,53,54,54,55,49,51,3,2022
111,Patriarca ,14,17,19,20,19,19,18,20,20,20,20,18,19,3,2022
112,Guilhermina-Esperança ,14,17,18,19,19,19,18,19,20,20,20,18,18,3,2022
113,Vila Matilde ,17,21,23,24,24,23,22,25,25,25,25,22,23,3,2022
114,Penha ,19,23,25,26,26,26,24,26,27,27,27,23,25,3,2022
115,Carrão ,29,36,46,47,47,42,36,46,47,48,47,35,42,3,2022
116,Tatuapé,53,62,71,71,71,70,69,71,72,72,74,68,69,3,2022
117,Belém ,26,30,33,34,34,34,32,35,35,36,36,31,33,3,2022
118,Bresser-Moóca ,21,24,30,31,30,29,26,31,32,32,32,26,29,3,2022
119,Brás,67,73,78,81,79,77,74,74,75,78,78,79,76,3,2022
120,Pedro II ,13,15,16,16,16,15,15,16,16,16,16,14,15,3,2022
121,Sé¹,136,159,178,186,186,179,174,187,190,195,195,171,178,3,2022
122,Anhangabaú,34,40,43,46,46,44,44,46,47,50,50,43,44,3,2022
123,República,79,91,104,108,109,107,105,111,114,115,117,105,105,3,2022
124,Santa Cecília ,17,20,22,23,22,21,20,22,23,23,23,20,21,3,2022
125,Marechal Deodoro ,19,23,25,26,25,25,23,26,26,26,26,22,24,3,2022
126,Palmeiras-Barra Funda,105,120,134,139,131,130,129,135,140,141,144,130,132,3,2022
127,Total,758,883,996,1.023,1.010,980,948,1.015,1.035,1.051,1.063,945,976,3,2022
128,Vila Prudente¹,38,45.0,49.0,51.0,51.0,50.0,49.0,51.0,53.0,52.0,54.0,43.0,49.0,15,2022
129,Oratório,4,5.0,5.0,5.0,5.0,5.0,5.0,6.0,6.0,5.0,6.0,5.0,5.0,15,2022
130,São Lucas,3,4.0,4.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,4.0,5.0,15,2022
131,Camilo Haddad,2,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,15,2022
132,Vila Tolstói,3,4.0,4.0,4.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,4.0,4.0,15,2022
133,Vila União,4,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,15,2022
134,Jardim Planalto,3,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,15,2022
135,Sapopemba,5,6.0,7.0,7.0,7.0,7.0,7.0,8.0,8.0,8.0,8.0,7.0,7.0,15,2022
136,Fazenda da Juta,3,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,15,2022
137,São Mateus,13,16.0,16.0,16.0,15.0,15.0,15.0,16.0,16.0,16.0,17.0,15.0,16.0,15,2022
138,Jardim Colonial, -   ,1.0,3.0,4.0,4.0,4.0,4.0,5.0,5.0,5.0,5.0,5.0,4.0,15,2022
139,Total,79,94.0,104.0,109.0,109.0,108.0,104.0,110.0,114.0,114.0,117.0,99.0,105.0,15,2022
140,Jabaquara, 63 , 66 , 70 , 72 ,,,,,,,,, 68 ,1,2023
141,Conceição , 20 , 24 , 26 , 26 ,,,,,,,,, 24 ,1,2023
142,São Judas , 12 , 14 , 15 , 15 ,,,,,,,,, 14 ,1,2023
143,Saúde , 21 , 26 , 27 , 27 ,,,,,,,,, 25 ,1,2023
144,Praça da Árvore , 12 , 15 , 15 , 15 ,,,,,,,,, 14 ,1,2023
145,Santa Cruz, 76 , 88 , 91 , 91 ,,,,,,,,, 87 ,1,2023
146,Vila Mariana , 13 , 19 , 21 , 21 ,,,,,,,,, 19 ,1,2023
147,Ana Rosa¹, 59 , 70 , 75 , 75 ,,,,,,,,, 70 ,1,2023
148,Paraíso¹, 73 , 87 , 94 , 94 ,,,,,,,,, 87 ,1,2023
149,Vergueiro , 21 , 25 , 26 , 26 ,,,,,,,,, 25 ,1,2023
150,São Joaquim , 17 , 24 , 33 , 34 ,,,,,,,,, 27 ,1,2023
151,Japão-Liberdade , 19 , 20 , 22 , 22 ,,,,,,,,, 21 ,1,2023
152,Sé2, 144 , 164 , 172 , 171 ,,,,,,,,, 163 ,1,2023
153,São Bento, 48 , 51 , 51 , 51 ,,,,,,,,, 50 ,1,2023
154,Luz, 108 , 122 , 127 , 130 ,,,,,,,,, 122 ,1,2023
155,Tiradentes , 10 , 15 , 16 , 16 ,,,,,,,,, 14 ,1,2023
156,Armênia , 17 , 20 , 21 , 21 ,,,,,,,,, 20 ,1,2023
157,Portuguesa-Tietê , 43 , 43 , 44 , 45 ,,,,,,,,, 44 ,1,2023
158,Carandiru , 8 , 10 , 11 , 11 ,,,,,,,,, 10 ,1,2023
159,Santana , 41 , 47 , 50 , 50 ,,,,,,,,, 47 ,1,2023
160,Jardim São Paulo-Ayrton Senna, 8 , 11 , 11 , 11 ,,,,,,,,, 10 ,1,2023
161,Parada Inglesa , 9 , 11 , 12 , 12 ,,,,,,,,, 11 ,1,2023
162,Tucuruvi , 47 , 54 , 56 , 56 ,,,,,,,,, 53 ,1,2023
163,Total, 891 , 1.025 , 1.087 , 1.091 ,,,,,,,,, 1.024 ,1,2023
164,Vila Prudente¹, 61 , 71 , 74 , 76 ,,,,,,,,, 71 ,2,2023
165,Tamanduateí, 60 , 68 , 71 , 72 ,,,,,,,,, 68 ,2,2023
166,Sacomã, 33 , 38 , 40 , 40 ,,,,,,,,, 38 ,2,2023
167,Alto do Ipiranga , 14 , 17 , 18 , 18 ,,,,,,,,, 17 ,2,2023
168,Santos-Imigrantes , 11 , 13 , 14 , 14 ,,,,,,,,, 13 ,2,2023
169,Chácara Klabin , 51 , 61 , 64 , 63 ,,,,,,,,, 60 ,2,2023
170,Ana Rosa², 49 , 57 , 60 , 61 ,,,,,,,,, 57 ,2,2023
171,Paraíso², 51 , 59 , 63 , 63 ,,,,,,,,, 59 ,2,2023
172,Brigadeiro , 40 , 45 , 48 , 48 ,,,,,,,,, 45 ,2,2023
173,Trianon-Masp , 35 , 41 , 46 , 46 ,,,,,,,,, 42 ,2,2023
174,Consolação, 76 , 90 , 99 , 99 ,,,,,,,,, 91 ,2,2023
175,Clínicas , 17 , 20 , 21 , 21 ,,,,,,,,, 20 ,2,2023
176,Santuário N.S. de Fátima-Sumaré , 7 , 9 , 10 , 10 ,,,,,,,,, 9 ,2,2023
177,Vila Madalena, 15 , 19 , 20 , 20 ,,,,,,,,, 19 ,2,2023
178,Total, 519 , 609 , 649 , 649 ,,,,,,,,, 607 ,2,2023
179,Corinthians-Itaquera, 64 , 72 , 73 , 74 ,,,,,,,,, 71 ,3,2023
180,Artur Alvim, 46 , 53 , 55 , 55 ,,,,,,,,, 52 ,3,2023
181,Patriarca , 17 , 20 , 21 , 21 ,,,,,,,,, 20 ,3,2023
182,Guilhermina-Esperança , 17 , 20 , 21 , 21 ,,,,,,,,, 20 ,3,2023
183,Vila Matilde , 21 , 25 , 26 , 26 ,,,,,,,,, 25 ,3,2023
184,Penha , 22 , 26 , 28 , 28 ,,,,,,,,, 26 ,3,2023
185,Carrão , 34 , 44 , 51 , 50 ,,,,,,,,, 45 ,3,2023
186,Tatuapé, 64 , 71 , 75 , 76 ,,,,,,,,, 72 ,3,2023
187,Belém , 31 , 36 , 38 , 37 ,,,,,,,,, 36 ,3,2023
188,Bresser-Moóca , 24 , 29 , 33 , 32 ,,,,,,,,, 30 ,3,2023
189,Brás, 66 , 72 , 74 , 76 ,,,,,,,,, 72 ,3,2023
190,Pedro II , 14 , 15 , 16 , 15 ,,,,,,,,, 15 ,3,2023
191,Sé¹, 164 , 189 , 199 , 200 ,,,,,,,,, 188 ,3,2023
192,Anhangabaú, 42 , 48 , 50 , 51 ,,,,,,,,, 48 ,3,2023
193,República, 101 , 111 , 118 , 119 ,,,,,,,,, 112 ,3,2023
194,Santa Cecília , 19 , 22 , 23 , 23 ,,,,,,,,, 22 ,3,2023
195,Marechal Deodoro , 22 , 25 , 27 , 26 ,,,,,,,,, 25 ,3,2023
196,Palmeiras-Barra Funda, 119 , 134 , 138 , 134 ,,,,,,,,, 131 ,3,2023
197,Total, 887 , 1.012 , 1.067 , 1.066 ,,,,,,,,, 1.008 ,3,2023
198,Vila Prudente¹,46.0,55.0,57.0,60.0,,,,,,,,,55.0,15,2023
199,Oratório,5.0,6.0,6.0,6.0,,,,,,,,,6.0,15,2023
200,São Lucas,4.0,5.0,5.0,5.0,,,,,,,,,5.0,15,2023
201,Camilo Haddad,3.0,3.0,4.0,4.0,,,,,,,,,4.0,15,2023
202,Vila Tolstói,4.0,5.0,5.0,5.0,,,,,,,,,5.0,15,2023
203,Vila União,4.0,5.0,5.0,5.0,,,,,,,,,5.0,15,2023
204,Jardim Planalto,4.0,4.0,4.0,4.0,,,,,,,,,4.0,15,2023
205,Sapopemba,7.0,8.0,8.0,8.0,,,,,,,,,8.0,15,2023
206,Fazenda da Juta,3.0,4.0,4.0,4.0,,,,,,,,,4.0,15,2023
207,São Mateus,14.0,16.0,16.0,16.0,,,,,,,,,16.0,15,2023
208,Jardim Colonial,5.0,5.0,6.0,6.0,,,,,,,,,6.0,15,2023
209,Total,99.0,117.0,120.0,124.0,,,,,,,,,115.0,15,2023
