,Station,January,February,March,April,May,June,July,August,September,October,November,December,Mean,Year,Line
0,São Paulo - Morumbi,26.0,27.0,22.0,22.0,25.0,26.0,27.0,30.0,31.0,33.52,35.99,32.8,28.1925,2021,4_Yellow
1,Butantã,22.0,23.0,19.0,18.0,21.0,22.0,23.0,25.0,27.0,28.33,30.12,27.31,23.813333333333333,2021,4_Yellow
2,Pinheiros1,55.0,58.0,47.0,46.0,53.0,55.0,55.0,62.0,67.0,71.08,77.69,70.48,59.770833333333336,2021,4_Yellow
3,Faria Lima,16.0,17.0,13.0,12.0,15.0,16.0,16.0,18.0,19.0,20.61,22.36,19.25,17.018333333333334,2021,4_Yellow
4,Fradique Coutinho,9.0,9.0,7.0,7.0,8.0,9.0,9.0,10.0,11.0,11.44,12.39,10.92,9.479166666666666,2021,4_Yellow
5,Oscar Freire,14.0,15.0,12.0,12.0,14.0,14.0,15.0,16.0,16.0,17.1,18.19,16.28,14.964166666666666,2021,4_Yellow
6,Paulista2,53.0,57.0,45.0,42.0,48.0,50.0,53.0,59.0,63.0,66.49,72.33,64.31,56.09416666666667,2021,4_Yellow
7,Higienópolis - Mackenzie,9.0,10.0,8.0,7.0,9.0,9.0,9.0,11.0,12.0,12.93,14.41,11.71,10.254166666666668,2021,4_Yellow
8,República3,63.0,66.0,52.0,50.0,57.0,61.0,64.0,69.0,73.0,77.11,83.66,77.03,66.06666666666666,2021,4_Yellow
9,Luz4,75.0,78.0,63.0,61.0,74.0,76.0,80.0,86.0,92.0,96.2,102.1,93.54,81.40333333333334,2021,4_Yellow
10,TOTAL,341.0,360.0,288.0,276.0,324.0,336.0,350.0,386.0,409.0,434.81,469.24,423.65,366.47499999999997,2021,4_Yellow
