,Station,January,February,March,April,May,June,July,August,September,October,November,December,Mean,Year,Line
0,São Paulo - Morumbi,28.67,34.83,39.9,41.25,31.67,22.3,21.1,22.6,22.29,22.26,21.69,19.28,27.320000000000004,2022,4_Yellow
1,Butantã,24.31,28.94,35.45,38.81,38.9,34.39,31.48,34.8,36.29,37.06,35.77,29.87,33.839166666666664,2022,4_Yellow
2,Pinheiros1,62.94,72.94,82.6,87.17,88.74,87.8,88.44,93.98,97.37,99.58,98.3,88.83,87.39083333333333,2022,4_Yellow
3,Faria Lima,18.26,22.5,25.4,27.56,28.84,30.33,30.3,32.48,32.59,32.94,32.24,29.14,28.548333333333332,2022,4_Yellow
4,Fradique Coutinho,9.88,11.98,13.27,14.06,14.54,15.21,15.28,16.09,16.34,16.61,16.61,14.85,14.56,2022,4_Yellow
5,Oscar Freire,14.79,17.68,18.9,19.59,20.12,20.73,20.68,21.81,21.51,22.12,22.13,20.4,20.038333333333334,2022,4_Yellow
6,Paulista2,57.8,69.89,84.41,89.55,92.59,87.61,83.57,95.27,99.42,100.28,96.55,83.74,86.72333333333331,2022,4_Yellow
7,Higienópolis - Mackenzie,10.6,13.87,19.03,22.21,23.68,18.5,15.28,25.05,25.73,24.11,23.68,15.96,19.808333333333334,2022,4_Yellow
8,República3,68.47,79.68,93.18,95.65,96.73,94.34,93.31,98.97,102.74,104.29,102.12,92.74,93.51833333333333,2022,4_Yellow
9,Luz4,86.07,98.16,106.27,114.17,117.02,113.85,115.08,121.01,126.39,127.55,125.18,114.43,113.76500000000003,2022,4_Yellow
10,TOTAL,381.81,450.46,518.39,550.01,569.18,559.54,548.41,599.54,619.43,626.43,613.22,544.99,548.4508333333334,2022,4_Yellow
