,Station,January,February,March,April,May,June,July,August,September,October,November,December,Mean,Year,Line
0,Vila Sônia,34.54,38.15,42.21,43.98,,,,,,,,,39.72,2023,4_Yellow
1,São Paulo - Morumbi,18.26,20.17,24.15,23.37,,,,,,,,,21.4875,2023,4_Yellow
2,Butantã,27.17,29.85,36.43,38.63,,,,,,,,,33.02,2023,4_Yellow
3,Pinheiros1,87.15,91.47,103.42,104.83,,,,,,,,,96.7175,2023,4_Yellow
4,Faria Lima,28.65,30.31,33.71,34.54,,,,,,,,,31.802499999999995,2023,4_Yellow
5,Fradique Coutinho,14.56,16.09,17.08,17.18,,,,,,,,,16.2275,2023,4_Yellow
6,Oscar Freire,19.87,20.93,23.5,24.02,,,,,,,,,22.08,2023,4_Yellow
7,Paulista2,82.55,92.87,101.89,105.55,,,,,,,,,95.715,2023,4_Yellow
8,Higienópolis - Mackenzie,14.58,23.5,27.51,27.48,,,,,,,,,23.267500000000002,2023,4_Yellow
9,República3,90.08,96.67,102.68,106.2,,,,,,,,,98.9075,2023,4_Yellow
10,Luz4,113.58,120.29,136.49,135.69,,,,,,,,,126.5125,2023,4_Yellow
11,TOTAL,530.98,580.3,649.07,661.45,,,,,,,,,605.45,2023,4_Yellow
