Month,Total,Média dos Dias Úteis,Média dos Sábados,Média dos Domingos,Máxima Diária
Janeiro 2022,"9.745,14","381,81","209,48","135,96","420,11"
Fevereiro 2022,10.885,450,289,180,486
Março 2022,13.697,523,322,172,575
Abril 2022,13.019,550,299,165,591
Maio 2022,"14.873,24","569,18","337,49","200,28","606,09"
Junho 2022,"14.239,84","559,54","322,67","223,49","587,65"
Julho 2022,"14.178,13","548,41","328,38","203,91","586,31"
Agosto 2022,"15.871,08","599,54","327,55","192,89","640,13"
Setembro 2022,"15.427,31","619,43","341,23","205,33","653,67"
Outubro 2022,"15.642,63","626,43","350,85","224,48","660,21"
Novembro 2022,"14.955,05","613,22","357,00","205,72","659,99"
Dezembro 2022,"14.236,08","544,98","299,08","187,76","693,28"
