Month,Total,Média dos Dias Úteis,Média dos Sábados,Média dos Domingos,Máxima Diária
Janeiro 2021,8.042,341,172,101,365
Fevereiro 2021,8.395,360,206,110,375
Março 2021,7.060,288,135,69,373
Abril 2021,6.530,276,141,77,317
Maio 2021,8.284,324,193,103,346
Junho 2021,8.721,336,216,114,357
Julho 2021,9.139,350,222,119,373
Agosto 2021,10.049,386,231,129,405
Setembro 2021,10.409,409,252,149,431
Outubro 2021,"10.956,07","434,81","272,26","146,87","478,42"
Novembro 2021,"11.712,12","469,24","300,21","188,66","497,47"
Dezembro 2021,"11.566,89","423,65","272,63","183,10","514,81"
