Month,Total,Média dos Dias Úteis,Média dos Sábados,Média dos Domingos,Máxima Diária
Janeiro 2023,"13.605,41","530,98","311,82","186,86","594,24"
Fevereiro 2023,"13.777,19","580,30","387,56","224,68","639,51"
Março 2023,"17.370,64","649,07","389,01","221,48","711,99"
Abril 2023,"15.070,57","661,45","338,30","201,58","701,71"
