INFORMAÇÕES SOBRE A DEMANDA - NOVEMBRO/2019;;;;;;;
;;;;;;;
DEMANDA DE PASSAGEIROS POR ESTAÇÃO* -  MÉDIA DOS DIAS ÚTEIS (em milhares);;;;;;;
;;;;;;;
Linha 1 - Azul  ;;Linha 2 - Verde  ;;Linha 3 - Vermelha  ;;Linha 15 - Prata;
Estação ;Entradas ;Estação ;Entradas;Estação ;Entradas;Estação ;Entradas
Jabaquara;92;Vila Prudente5;74;Corinthians-Itaquera;96;Vila Prudente6;51
Conceição ;42;Tamanduateí;83;Artur Alvim;69;Oratório;7
São Judas ;21;Sacomã;47;Patriarca ;26;São Lucas;5
Saúde ;38;Alto do Ipiranga ;23;Guilhermina-Esperança ;26;Camilo Haddad;4
Praça da Árvore ;23;Santos-Imigrantes ;17;Vila Matilde ;32;Vila Tolstói;5
Santa Cruz;119;Chácara Klabin ;83;Penha ;37;Vila União;7
Vila Mariana ;29;Ana Rosa²;83;Carrão ;61;Jardim Planalto;15
Ana Rosa¹;96;Paraíso²;86;Tatuapé;96;- ;-
Paraíso¹;120;Brigadeiro ;65;Belém ;47;- ;-
Vergueiro ;31;Trianon-Masp ;60;Bresser-Moóca ;45;- ;-
São Joaquim ;49;Consolação;137;Brás;100;- ;-
Liberdade ;29;Clínicas ;27;Pedro II ;24;- ;-
Sé³;242;Santuário N.S. de Fátima-Sumaré ;16;Sé4;280;- ;-
São Bento;77;Vila Madalena;29;Anhangabaú;70;- ;-
Luz;164;- ;-;República;170;- ;-
Tiradentes ;20;- ;-;Santa Cecília ;33;- ;-
Armênia ;30;- ;-;Marechal Deodoro ;37;- ;-
Portuguesa-Tietê ;64;- ;-;Palmeiras-Barra Funda;214;- ;-
Carandiru ;16;- ;-;- ;- ;- ;-
Santana ;68;- ;-;- ;- ;- ;-
Jardim São Paulo-Ayrton Senna;16;- ;-;- ;- ;- ;-
Parada Inglesa ;17;- ;-;- ;- ;- ;-
Tucuruvi ;75;- ;-;- ;- ;- ;-
TOTAL;1477;TOTAL;830;TOTAL;1.463;TOTAL;94
*Corresponde à soma das entradas pelas linhas de bloqueios com as transferências entre linhas nas Estações Sé, Paraíso, Ana Rosa e Vila Prudente.;;;;;;;
¹ Corresponde à soma dos usuários que embarcaram na Linha 1-Azul com as transferências da Linha 2-Verde;;;;;;;
² Corresponde à soma dos usuários que embarcaram na Linha 2-Verde com as transferências da Linha 1-Azul;;;;;;;
3 Corresponde à soma dos usuários que embarcaram na Linha 1-Azul com as transferências da Linha 3-Vermelha;;;;;;;
4 Corresponde à soma dos usuários que embarcaram na Linha 3-Vermelha com as transferências da Linha 1-Azul;;;;;;;
5 Corresponde à soma dos usuários que embarcaram na Linha 2-Verde com as transferências da Linha 15-Prata;;;;;;;
6 Corresponde à soma dos usuários que embarcaram na Linha 15-Prata com as transferências da Linha 2-Verde;;;;;;;
            Dez estações de maior movimento (Considerou-se a somatória dos valores das estações Paraíso e Ana Rosa);;;;;;;
Fonte: Diretoria de Operações / Coordenadoria de Informações Gerenciais e Estudos Estratégicos - 10/12/2019;;;;;;;
