INFORMAÇÕES SOBRE A DEMANDA - FEVEREIRO/2019;;;;;
;;;;;
PASSAGEIROS TRANSPORTADOS POR LINHA¹;;;;;
;;;;;
DEMANDA (milhares);Linha 1-Azul ;Linha 2-Verde;Linha 3-Vermelha;Linha 15 - Prata ;Rede
Total;34.705;17.728;33.962;1.086;87.481
Média dos dias úteis ;1.466;768;1.420;48;3.703
Média dos Sábados ;851;360;864;21;2.096
Média dos Domingos ;495;230;526;9;1.260
Máxima Diária ;1.544;808;1.492;54;3.894
¹ Corresponde à soma das entradas pela linha de bloqueios com as transferências entre linhas nas estações Sé, Paraíso, Ana Rosa e Vila Prudente;;;;;
;;;;;
Fonte: Diretoria de Operações / Coordenadoria de Informações Gerenciais e Estudos Estratégicos - 14/03/2019;;;;;
