date,line,total,business_day_mean,saturday_mean,sunday_mean,max
2023-01-01,1,17163000,659000,446000,252000,725000
2023-02-01,1,17057000,757000,465000,255000,792000
2023-03-01,1,20324000,803000,491000,265000,828000
2023-04-01,1,18701000,808000,453000,262000,830000
2023-01-01,2,9831000,390000,208000,134000,446000
2023-02-01,2,10104000,461000,231000,148000,490000
2023-03-01,2,12263000,494000,241000,153000,520000
2023-04-01,2,10961000,492000,219000,140000,512000
2023-01-01,3,19282000,741000,480000,300000,817000
2023-02-01,3,19249000,844000,527000,321000,888000
2023-03-01,3,22571000,888000,539000,311000,914000
2023-04-01,3,20602000,886000,501000,296000,973000
2023-01-01,15,1505000,59000,35000,20000,66000
2023-02-01,15,1531000,69000,38000,21000,76000
2023-03-01,15,1692000,72000,40000,21000,74000
2023-04-01,15,1653000,72000,37000,22000,74000
2022-01-01,1,13688000,542000,351000,190000,585000
2022-02-01,1,14891000,634000,415000,196000,667000
2022-03-01,1,18216000,706000,436000,198000,734000
2022-04-01,1,17547000,742000,430000,235000,771000
2022-05-01,1,19350000,738000,473000,242000,765000
2022-06-01,1,17926000,710000,437000,242000,746000
2022-07-01,1,18175000,690000,459000,265000,752000
2022-08-01,1,19922000,747000,454000,232000,779000
2022-09-01,1,19046000,761000,466000,237000,796000
2022-10-01,1,19679000,782000,475000,257000,828000
2022-11-01,1,18677000,782000,484000,263000,816000
2022-12-01,1,18176000,691000,511000,291000,845000
2022-01-01,2,7484000,302000,169000,100000,331000
2022-02-01,2,8486000,367000,198000,129000,389000
2022-03-01,2,10739000,424000,215000,130000,444000
2022-04-01,2,10196000,444000,212000,134000,459000
2022-05-01,2,11447000,447000,228000,135000,468000
2022-06-01,2,10638000,431000,214000,153000,447000
2022-07-01,2,10490000,413000,222000,146000,430000
2022-08-01,2,12057000,460000,231000,136000,487000
2022-09-01,2,11553000,470000,235000,135000,490000
2022-10-01,2,11672000,475000,238000,150000,498000
2022-11-01,2,11039000,477000,237000,144000,501000
2022-12-01,2,10182000,396000,248000,151000,495000
2022-01-01,3,16226000,639000,411000,235000,696000
2022-02-01,3,17630000,743000,478000,289000,775000
2022-03-01,3,21835000,840000,513000,287000,895000
2022-04-01,3,20508000,859000,499000,308000,877000
2022-05-01,3,22453000,847000,542000,324000,877000
2022-06-01,3,20959000,823000,514000,322000,858000
2022-07-01,3,20746000,795000,511000,303000,833000
2022-08-01,3,22792000,849000,513000,305000,888000
2022-09-01,3,21793000,865000,534000,290000,910000
2022-10-01,3,22203000,878000,533000,305000,918000
2022-11-01,3,21421000,889000,560000,320000,928000
2022-12-01,3,21117000,793000,642000,348000,959000
2022-01-01,15,1142000,46000,28000,14000,50000
2022-02-01,15,1294000,55000,34000,18000,59000
2022-03-01,15,1587000,62000,36000,18000,64000
2022-04-01,15,1507000,64000,36000,19000,69000
2022-05-01,15,1674000,64000,39000,20000,66000
2022-06-01,15,1596000,64000,35000,20000,70000
2022-07-01,15,1517000,62000,26000,16000,64000
2022-08-01,15,1709000,67000,28000,17000,69000
2022-09-01,15,1661000,68000,34000,20000,74000
2022-10-01,15,1679000,69000,33000,19000,71000
2022-11-01,15,1654000,71000,34000,22000,74000
2022-12-01,15,1555000,62000,25000,19000,75000
2021-01-01,1,11572000,483000,263000,157000,512000
2021-02-01,1,11870000,509000,304000,158000,526000
2021-03-01,1,9795000,398000,192000,100000,531000
2021-04-01,1,9192000,388000,204000,109000,449000
2021-05-01,1,11414000,459000,295000,145000,476000
2021-06-01,1,12216000,476000,311000,159000,497000
2021-07-01,1,12800000,489000,318000,166000,517000
2021-08-01,1,13887000,531000,336000,173000,553000
2021-09-01,1,14620000,580000,373000,202000,600000
2021-10-01,1,15384000,614000,403000,196000,652000
2021-11-01,1,16326000,662000,443000,241000,679000
2021-12-01,1,16317000,627000,495000,250000,712000
2021-01-01,2,6058000,261000,119000,73000,275000
2021-02-01,2,6334000,279000,142000,80000,286000
2021-03-01,2,5570000,230000,99000,53000,286000
2021-04-01,2,5161000,220000,105000,61000,250000
2021-05-01,2,6301000,256000,144000,78000,266000
2021-06-01,2,6794000,270000,154000,85000,277000
2021-07-01,2,7114000,275000,162000,94000,288000
2021-08-01,2,7899000,306000,165000,101000,322000
2021-09-01,2,8167000,328000,178000,118000,338000
2021-10-01,2,8506000,348000,195000,112000,365000
2021-11-01,2,8913000,370000,204000,136000,382000
2021-12-01,2,8877000,349000,225000,138000,398000
2021-01-01,3,14433000,601000,329000,197000,639000
2021-02-01,3,14848000,635000,379000,212000,658000
2021-03-01,3,12699000,511000,256000,144000,664000
2021-04-01,3,11808000,493000,266000,153000,566000
2021-05-01,3,14212000,568000,369000,191000,592000
2021-06-01,3,15052000,589000,384000,184000,617000
2021-07-01,3,15736000,603000,387000,198000,635000
2021-08-01,3,16941000,650000,402000,209000,680000
2021-09-01,3,17307000,691000,432000,231000,742000
2021-10-01,3,18109000,723000,463000,243000,764000
2021-11-01,3,19133000,773000,517000,298000,792000
2021-12-01,3,19290000,737000,582000,310000,850000
2021-01-01,15,932000000,39000,21000,12000,42000
2021-02-01,15,966000000,41000,24000,13000,43000
2021-03-01,15,887000000,36000,18000,10000,43000
2021-04-01,15,831000000,35000,19000,10000,39000
2021-05-01,15,970000000,39000,25000,13000,41000
2021-06-01,15,1055000,41000,26000,14000,43000
2021-07-01,15,1030999,43000,17000,9000,46000
2021-08-01,15,1176000,47000,23000,10000,50000
2021-09-01,15,1214000,50000,30000,11000,51000
2021-10-01,15,1195000,52000,23000,8000,55000
2021-11-01,15,1330000,56000,33000,18000,57000
2021-12-01,15,1296000,51000,37000,14000,59000
