,date,total,business_day_mean,saturday_mean,sunday_mean,max,line
0,2021-01-01,11572000,483000,263000,157000,512000,1
1,2021-02-01,11870000,509000,304000,158000,526000,1
2,2021-03-01,9795000,398000,192000,100000,531000,1
3,2021-04-01,9192000,388000,204000,109000,449000,1
4,2021-05-01,11414000,459000,295000,145000,476000,1
5,2021-06-01,12216000,476000,311000,159000,497000,1
6,2021-07-01,12800000,489000,318000,166000,517000,1
7,2021-08-01,13887000,531000,336000,173000,553000,1
8,2021-09-01,14620000,580000,373000,202000,600000,1
9,2021-10-01,15384000,614000,403000,196000,652000,1
10,2021-11-01,16326000,662000,443000,241000,679000,1
11,2021-12-01,16317000,627000,495000,250000,712000,1
12,2021-01-01,6058000,261000,119000,73000,275000,2
13,2021-02-01,6334000,279000,142000,80000,286000,2
14,2021-03-01,5570000,230000,99000,53000,286000,2
15,2021-04-01,5161000,220000,105000,61000,250000,2
16,2021-05-01,6301000,256000,144000,78000,266000,2
17,2021-06-01,6794000,270000,154000,85000,277000,2
18,2021-07-01,7114000,275000,162000,94000,288000,2
19,2021-08-01,7899000,306000,165000,101000,322000,2
20,2021-09-01,8167000,328000,178000,118000,338000,2
21,2021-10-01,8506000,348000,195000,112000,365000,2
22,2021-11-01,8913000,370000,204000,136000,382000,2
23,2021-12-01,8877000,349000,225000,138000,398000,2
24,2021-01-01,14433000,601000,329000,197000,639000,3
25,2021-02-01,14848000,635000,379000,212000,658000,3
26,2021-03-01,12699000,511000,256000,144000,664000,3
27,2021-04-01,11808000,493000,266000,153000,566000,3
28,2021-05-01,14212000,568000,369000,191000,592000,3
29,2021-06-01,15052000,589000,384000,184000,617000,3
30,2021-07-01,15736000,603000,387000,198000,635000,3
31,2021-08-01,16941000,650000,402000,209000,680000,3
32,2021-09-01,17307000,691000,432000,231000,742000,3
33,2021-10-01,18109000,723000,463000,243000,764000,3
34,2021-11-01,19133000,773000,517000,298000,792000,3
35,2021-12-01,19290000,737000,582000,310000,850000,3
36,2021-01-01,932000,39000,21000,12000,42000,15
37,2021-02-01,966000,41000,24000,13000,43000,15
38,2021-03-01,887000,36000,18000,10000,43000,15
39,2021-04-01,831000,35000,19000,10000,39000,15
40,2021-05-01,970000,39000,25000,13000,41000,15
41,2021-06-01,1055000,41000,26000,14000,43000,15
42,2021-07-01,1031000,43000,17000,9000,46000,15
43,2021-08-01,1176000,47000,23000,10000,50000,15
44,2021-09-01,1214000,50000,30000,11000,51000,15
45,2021-10-01,1195000,52000,23000,8000,55000,15
46,2021-11-01,1330000,56000,33000,18000,57000,15
47,2021-12-01,1296000,51000,37000,14000,59000,15
