INFORMAÇÕES SOBRE A DEMANDA - MAIO/2018;;;;;;;;;;
;;;;;;;;;;
DEMANDA DE PASSAGEIROS POR ESTAÇÃO*  -  MÉDIA DOS DIAS ÚTEIS (em milhares);;;;;;;;;;
;;;;;;;;;;
Linha 1 - Azul  ;;Linha 2 - Verde  ;;Linha 3 - Vermelha  ;;Linha 5 - Lilás;;Linha 15 - Prata;;
Estação ;Entradas ;Estação ;Entradas;Estação ;Entradas;Estação ;Entradas;Estação ;Entradas;
Jabaquara;90;Vila Prudente5;56;Corinthians-Itaquera;100;Capão Redondo ;80;Vila Prudente6;12;
Conceição ;42;Tamanduateí;71;Artur Alvim;70;Campo Limpo ;34;Oratório;10;
São Judas ;21;Sacomã;42;Patriarca ;26;Vila das Belezas ;12;- ;-;
Saúde ;37;Alto do Ipiranga ;21;Guilhermina-Esperança ;27;Giovanni Gronchi ;22;- ;-;
Praça da Árvore ;23;Santos-Imigrantes ;16;Vila Matilde ;32;Santo Amaro;93;- ;-;
Santa Cruz;63;Chácara Klabin ;8;Penha ;38;Largo Treze ;31;- ;-;
Vila Mariana ;32;Ana Rosa²;83;Carrão ;61;Adolfo Pinheiro;9;- ;-;
Ana Rosa¹;91;Paraíso²;76;Tatuapé;93;Alto da Boa Vista7;3;- ;-;
Paraíso¹;118;Brigadeiro ;62;Belém ;49;Borba Gato7;8;- ;-;
Vergueiro ;34;Trianon-Masp ;58;Bresser-Moóca ;46;Brooklin7;12;- ;-;
São Joaquim ;51;Consolação;142;Brás;99;Eucaliptos8;19;- ;-;
Liberdade ;30;Clínicas ;28;Pedro II ;26;- ;-;- ;-;
Sé³;254;Santuário N.S. de Fátima-Sumaré ;15;Sé4;274;- ;-;- ;-;
São Bento;73;Vila Madalena;28;Anhangabaú;76;- ;-;- ;-;
Luz;177;- ;- ;República;152;- ;-;- ;-;
Tiradentes ;18;- ;- ;Santa Cecília ;33;- ;-;- ;-;
Armênia ;30;- ;- ;Marechal Deodoro ;38;- ;-;- ;-;
Portuguesa-Tietê ;64;- ;- ;Palmeiras-Barra Funda;214;- ;-;- ;-;
Carandiru ;15;- ;- ;- ;- ;- ;-;- ;-;
Santana ;68;- ;- ;- ;- ;- ;-;- ;-;
Jardim São Paulo-Ayrton Senna;15;- ;- ;- ;- ;- ;-;- ;-;
Parada Inglesa ;17;- ;- ;- ;- ;- ;-;- ;-;
Tucuruvi ;70;- ;-;- ;- ;- ;-;- ;-;
TOTAL;1.436;TOTAL;706;TOTAL;1.455;TOTAL;322;TOTAL;22;
Fonte: Diretoria de Operações / Coordenadoria de Informações Gerenciais e Estudos Estratégicos;;;;;;;;;;
*Corresponde à soma das entradas pelas linhas de bloqueios com as transferências entre linhas nas Estações Sé, Paraíso, Ana Rosa e Vila Prudente.;;;;;;;;;;
¹ Corresponde à soma dos usuários que embarcaram na Linha 1 - Azul com as transferências da Linha 2 - Verde;;;;;;;;;;
² Corresponde à soma dos usuários que embarcaram na Linha 2 - Verde com as transferências da Linha 1 - Azul;;;;;;;;;;
3 Corresponde à soma dos usuários que embarcaram na Linha 1 - Azul com as transferências da Linha 3 - Vermelha;;;;;;;;;;
4 Corresponde à soma dos usuários que embarcaram na Linha 3 - Vermelha com as transferências da Linha 1 - Azul;;;;;;;;;;
5 Corresponde à soma dos usuários que embarcaram na Linha 2 - Verde com as transferências da Linha 15 - Prata;;;;;;;;;;
6 Corresponde à soma dos usuários que embarcaram na Linha 15 - Prata com as transferências da Linha 2 - Verde;;;;;;;;;;
7 Início da Operação Comercial das estações Alto da Boa Vista, Borba Gato e Brooklin em 27/11/2017.;;;;;;;;;;
8 Início da Operação Comercial da estação Eucaliptos em 02/04/2018.;;;;;;;;;;
            Dez estações de maior movimento (Considerou-se a somatória dos valores das estações Paraíso e Ana Rosa);;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
