year_month,line_color,Total,Média dos Dias Úteis,Média dos Sábados,Média dos Domingos,Máxima Diária
Janeiro 2023,Diamante,"7.737,65","298,94","194,60","94,39","332,49"
Fevereiro 2023,Diamante,"7.604,56","328,90","204,03","97,91","354,26"
Abril 2023,Diamante,"8.087,46","351,44","196,32","104,95","360,49"
