,total,MDU (Business Days Mean),MSD (Saturdays Mean),MDO (Sundays Mean),MAX (Daily Max),line_color,year_month
0,15.890,656,376,224,695,1,2021-01-01
1,16.415,692,436,231,714,1,2021-02-01
2,13.700,548,282,149,721,1,2021-03-01
3,12.800,532,299,163,613,1,2021-04-01
4,15.759,625,425,213,647,1,2021-05-01
5,16.821,649,448,228,676,1,2021-06-01
6,17.642,667,457,240,703,1,2021-07-01
7,19.118,724,480,252,754,1,2021-08-01
8,20.063,787,529,292,812,1,2021-09-01
9,21.100,831,570,285,880,1,2021-10-01
10,22.338,894,626,352,913,1,2021-11-01
11,22.297,847,699,363,961,1,2021-12-01
0,8.244,353,166,102,373,2,2021-01-01
1,8.559,376,196,110,383,2,2021-02-01
2,7.496,308,136,73,386,2,2021-03-01
3,6.979,297,143,83,338,2,2021-04-01
4,8.472,344,197,106,358,2,2021-05-01
5,9.094,360,210,115,371,2,2021-06-01
6,9.528,371,211,121,388,2,2021-07-01
7,10.574,411,221,130,432,2,2021-08-01
8,10.966,442,244,152,453,2,2021-09-01
9,11.359,466,259,143,488,2,2021-10-01
10,11.985,497,280,180,512,2,2021-11-01
11,11.954,469,310,181,535,2,2021-12-01
0,17.091,706,401,241,750,3,2021-01-01
1,17.626,746,463,256,772,3,2021-02-01
2,14.996,599,310,172,779,3,2021-03-01
3,13.943,578,323,184,664,3,2021-04-01
4,16.848,669,451,233,695,3,2021-05-01
5,17.862,693,471,230,725,3,2021-06-01
6,18.695,711,475,246,747,3,2021-07-01
7,20.129,766,495,259,801,3,2021-08-01
8,20.704,819,535,289,868,3,2021-09-01
9,21.708,858,574,299,907,3,2021-10-01
10,22.937,918,639,367,939,3,2021-11-01
11,23.052,874,717,381,994,3,2021-12-01
0,1.571,66.0,34.0,21.0,70.0,15,2021-01-01
1,1.575,68.0,39.0,21.0,72.0,15,2021-02-01
2,1.457,58.0,30.0,16.0,69.0,15,2021-03-01
3,1.355,57.0,31.0,17.0,63.0,15,2021-04-01
4,1.566,64.0,39.0,21.0,66.0,15,2021-05-01
5,1.67,65.0,42.0,23.0,67.0,15,2021-06-01
6,1.794,73.0,33.0,18.0,76.0,15,2021-07-01
7,2.018,80.0,40.0,20.0,83.0,15,2021-08-01
8,2.09,85.0,49.0,23.0,89.0,15,2021-09-01
9,2.066,88.0,41.0,18.0,94.0,15,2021-10-01
10,2.261,95.0,54.0,31.0,99.0,15,2021-11-01
11,2.203,86.0,61.0,27.0,100.0,15,2021-12-01
0,18.756,733,499,275,791,1,2022-01-01
1,20.465,860,587,303,903,1,2022-02-01
2,25.155,963,622,304,998,1,2022-03-01
3,24.189,1.008,612,348,1.044,1,2022-04-01
4,26.548,1.003,670,358,1.036,1,2022-05-01
5,24.725,967,623,364,1.011,1,2022-06-01
6,24.863,938,646,380,1.005,1,2022-07-01
7,27.296,1.015,645,344,1.057,1,2022-08-01
8,26.169,1.035,664,346,1.078,1,2022-09-01
9,26.982,1.059,673,374,1.116,1,2022-10-01
10,25.817,1.062,688,381,1.107,1,2022-11-01
11,25.019,934,734,417,1.142,1,2022-12-01
0,10.118,408,231,135,444,2,2022-01-01
1,11.356,491,271,168,519,2,2022-02-01
2,14.201,560,290,169,588,2,2022-03-01
3,13.555,588,288,179,608,2,2022-04-01
4,15.148,590,311,181,615,2,2022-05-01
5,14.080,570,291,199,591,2,2022-06-01
6,13.941,548,294,191,570,2,2022-07-01
7,15.832,605,303,178,638,2,2022-08-01
8,15.239,619,315,179,641,2,2022-09-01
9,15.388,625,317,200,655,2,2022-10-01
10,14.574,629,318,194,657,2,2022-11-01
11,13.602,530,327,200,657,2,2022-12-01
0,19.399,758,508,289,824,3,2022-01-01
1,21.084,883,592,346,921,3,2022-02-01
2,26.073,996,634,345,1.048,3,2022-03-01
3,24.646,1.023,618,375,1.048,3,2022-04-01
4,26.929,1.010,673,393,1.045,3,2022-05-01
5,25.162,980,635,392,1.022,3,2022-06-01
6,24.987,948,638,379,998,3,2022-07-01
7,27.388,1.015,640,372,1.060,3,2022-08-01
8,26.224,1.035,664,358,1.077,3,2022-09-01
9,26.821,1.051,665,379,1.097,3,2022-10-01
10,25.901,1.063,695,396,1.110,3,2022-11-01
11,25.432,945,784,431,1.145,3,2022-12-01
0,1.962,79.0,47.0,25.0,86.0,15,2022-01-01
1,2.198,94.0,56.0,31.0,102.0,15,2022-02-01
2,2.678,104.0,59.0,32.0,109.0,15,2022-03-01
3,2.544,109.0,58.0,34.0,114.0,15,2022-04-01
4,2.814,109.0,63.0,35.0,111.0,15,2022-05-01
5,2.669,108.0,59.0,34.0,115.0,15,2022-06-01
6,2.576,104.0,46.0,29.0,108.0,15,2022-07-01
7,2.824,110.0,60.0,28.0,117.0,15,2022-08-01
8,2.799,114.0,58.0,34.0,118.0,15,2022-09-01
9,2.795,114.0,54.0,35.0,118.0,15,2022-10-01
10,2.742,117.0,57.0,37.0,124.0,15,2022-11-01
11,2.519,99.0,48.0,32.0,121.0,15,2022-12-01
0, 23.408 , 891 , 623 , 363 , 982 ,1,2023-01-01
1, 23.465 , 1.025 , 660 , 375 , 1.075 ,1,2023-02-01
2, 27.945 , 1.087 , 692 , 384 , 1.120 ,1,2023-03-01
3, 25.545 , 1.091 , 639 , 375 , 1.130 ,1,2023-04-01
4,,,,,,1,2023-05-01
5,,,,,,1,2023-06-01
6,,,,,,1,2023-07-01
7,,,,,,1,2023-08-01
8,,,,,,1,2023-09-01
9,,,,,,1,2023-10-01
10,,,,,,1,2023-11-01
11,,,,,,1,2023-12-01
0, 13.130 , 519 , 285 , 180 , 588 ,2,2023-01-01
1, 13.364 , 609 , 311 , 196 , 643 ,2,2023-02-01
2, 16.048 , 649 , 325 , 201 , 678 ,2,2023-03-01
3, 14.544 , 649 , 299 , 189 , 671 ,2,2023-04-01
4,,,,,,2,2023-05-01
5,,,,,,2,2023-06-01
6,,,,,,2,2023-07-01
7,,,,,,2,2023-08-01
8,,,,,,2,2023-09-01
9,,,,,,2,2023-10-01
10,,,,,,2,2023-11-01
11,,,,,,2,2023-12-01
0, 23.278 , 887 , 603 , 372 , 978 ,3,2023-01-01
1, 23.296 , 1.012 , 657 , 395 , 1.065 ,3,2023-02-01
2, 27.409 , 1.067 , 676 , 387 , 1.096 ,3,2023-03-01
3, 25.011 , 1.066 , 627 , 371 , 1.157 ,3,2023-04-01
4,,,,,,3,2023-05-01
5,,,,,,3,2023-06-01
6,,,,,,3,2023-07-01
7,,,,,,3,2023-08-01
8,,,,,,3,2023-09-01
9,,,,,,3,2023-10-01
10,,,,,,3,2023-11-01
11,,,,,,3,2023-12-01
0,2.519,99.0,57.0,34.0,114.0,15,2023-01-01
1,2.576,117.0,61.0,36.0,125.0,15,2023-02-01
2,2.876,120.0,65.0,35.0,128.0,15,2023-03-01
3,2.827,124.0,63.0,37.0,127.0,15,2023-04-01
4,,,,,,15,2023-05-01
5,,,,,,15,2023-06-01
6,,,,,,15,2023-07-01
7,,,,,,15,2023-08-01
8,,,,,,15,2023-09-01
9,,,,,,15,2023-10-01
10,,,,,,15,2023-11-01
11,,,,,,15,2023-12-01
0,15.11,610,313,152,696,4,2018-01-01
1,16.807,722,517,254,772,4,2018-02-01
2,19.47,786,372,222,836,4,2018-03-01
3,18.757,774,370,207,808,4,2018-04-01
4,19.792,789,409,259,810,4,2018-05-01
5,18.618,750,379,243,818,4,2018-06-01
6,17.862,711,376,235,744,4,2018-07-01
7,20.844,797,397,229,827,4,2018-08-01
8,7.22,309,176,85,322,5,2018-08-01
9,18.08,800,411,111,841,4,2018-09-01
10,7.632,323,182,93,345,5,2018-09-01
11,10.897,424,227,131,502,5,2018-10-01
12,18.907,761,362,118,828,4,2018-10-01
13,16.99,735,354,213,802,4,2018-11-01
14,11.833,505,268,156,552,5,2018-11-01
15,16.471,666,373,233,795,4,2018-12-01
16,12.053,478,301,178,559,5,2018-12-01
17,11.482,456,251,150,502,5,2019-01-01
18,16.121,648,313,203,713,4,2019-01-01
19,18.136,765,437,273,808,4,2019-02-01
20,12.515,535,293,163,565,5,2019-02-01
21,13.332,555,297,167,585,5,2019-03-01
22,19.278,789,438,268,835,4,2019-03-01
23,19.644,808,387,227,843,4,2019-04-01
24,14.285,582,304,166,607,5,2019-04-01
25,14.857,584,309,143,606,5,2019-05-01
26,20.654,809,393,257,848,4,2019-05-01
27,12.703,543,300,164,583,5,2019-06-01
28,18.03,780,398,247,827,4,2019-06-01
29,18.518,730,378,222,760,4,2019-07-01
30,13.41,523,295,163,546,5,2019-07-01
31,15.084,586,312,159,600,5,2019-08-01
32,20.689,810,394,223,838,4,2019-08-01
33,14.755,601,312,177,629,5,2019-09-01
34,19.888,818,385,234,855,4,2019-09-01
35,21.387,818,386,255,854,4,2019-10-01
36,16.098,610,325,190,625,5,2019-10-01
37,14.569,622,316,182,644,5,2019-11-01
38,19.412,836,392,238,872,4,2019-11-01
39,14.031,548,217,119,649,5,2019-12-01
40,17.788,703,400,261,859,4,2019-12-01
41,17.75,702,335,202,777,4,2020-01-01
42,13.66,535,279,167,580,5,2020-01-01
43,18.294,763,441,310,853,4,2020-02-01
44,13.806,587,330,196,650,5,2020-02-01
45,10.674,419,208,126,652,5,2020-03-01
46,13.139,521,232,151,861,4,2020-03-01
47,3.806,158,83,48,174,4,2020-04-01
48,3.695,150,89,51,166,5,2020-04-01
49,4.062,175,91,49,182,4,2020-05-01
50,4.008,167,99,56,175,5,2020-05-01
51,5.139,200,121,65,221,5,2020-06-01
52,5.278,208,113,60,230,4,2020-06-01
53,6.746,255,149,71,276,4,2020-07-01
54,6.544,244,156,78,264,5,2020-07-01
55,7.1,277,172,85,299,5,2020-08-01
56,7.324,290,168,81,312,4,2020-08-01
57,7.728,306,196,98,323,5,2020-09-01
58,7.98,320,193,95,338,4,2020-09-01
59,8.892,347,208,107,368,4,2020-10-01
60,8.614,334,208,105,348,5,2020-10-01
61,8.976,365,234,122,385,4,2020-11-01
62,8.669,346,233,116,372,5,2020-11-01
63,8.785,337,213,114,392,4,2020-12-01
64,8.844,337,222,118,385,5,2020-12-01
65,8.042,341,172,101,365,4,2021-01-01
66,8.033,336,183,104,360,5,2021-01-01
