Month,Total,Average Weekday,Average Saturday,Average Sunday,Daily Maximum,Line,Year
Jan*,15.890,656,376,224,695,1,2021
Fev*,16.415,692,436,231,714,1,2021
Mar*,13.700,548,282,149,721,1,2021
Abr*,12.800,532,299,163,613,1,2021
Mai*,15.759,625,425,213,647,1,2021
Jun*,16.821,649,448,228,676,1,2021
Jul*,17.642,667,457,240,703,1,2021
Ago*,19.118,724,480,252,754,1,2021
Set*,20.063,787,529,292,812,1,2021
Out*,21.100,831,570,285,880,1,2021
Nov*,22.338,894,626,352,913,1,2021
Dez*,22.297,847,699,363,961,1,2021
2021,213.944,704,469,249,961,1,2021
Jan*,8.244,353,166,102,373,2,2021
Fev*,8.559,376,196,110,383,2,2021
Mar*,7.496,308,136,73,386,2,2021
Abr*,6.979,297,143,83,338,2,2021
Mai*,8.472,344,197,106,358,2,2021
Jun*,9.094,360,210,115,371,2,2021
Jul*,9.528,371,211,121,388,2,2021
Ago*,10.574,411,221,130,432,2,2021
Set*,10.966,442,244,152,453,2,2021
Out*,11.359,466,259,143,488,2,2021
Nov*,11.985,497,280,180,512,2,2021
Dez*,11.954,469,310,181,535,2,2021
2021,115.209,391,214,125,535,2,2021
Jan*,17.091,706,401,241,750,3,2021
Fev*,17.626,746,463,256,772,3,2021
Mar*,14.996,599,310,172,779,3,2021
Abr*,13.943,578,323,184,664,3,2021
Mai*,16.848,669,451,233,695,3,2021
Jun*,17.862,693,471,230,725,3,2021
Jul*,18.695,711,475,246,747,3,2021
Ago*,20.129,766,495,259,801,3,2021
Set*,20.704,819,535,289,868,3,2021
Out*,21.708,858,574,299,907,3,2021
Nov*,22.937,918,639,367,939,3,2021
Dez*,23.052,874,717,381,994,3,2021
2021,225.591,745,488,263,994,3,2021
Jan*,1.571,66.0,34.0,21.0,70.0,15,2021
Fev*,1.575,68.0,39.0,21.0,72.0,15,2021
Mar*,1.457,58.0,30.0,16.0,69.0,15,2021
Abr*,1.355,57.0,31.0,17.0,63.0,15,2021
Mai*,1.566,64.0,39.0,21.0,66.0,15,2021
Jun*,1.67,65.0,42.0,23.0,67.0,15,2021
Jul*,1.794,73.0,33.0,18.0,76.0,15,2021
Ago*,2.018,80.0,40.0,20.0,83.0,15,2021
Set*,2.09,85.0,49.0,23.0,89.0,15,2021
Out*,2.066,88.0,41.0,18.0,94.0,15,2021
Nov*,2.261,95.0,54.0,31.0,99.0,15,2021
Dez*,2.203,86.0,61.0,27.0,100.0,15,2021
2021,21.626,74.0,41.0,21.0,100.0,15,2021
Jan*,42.797,1.781,977.0,588.0,1.887,Combined Values,2021
Fev*,44.175,1.882,1.133,619.0,1.935,Combined Values,2021
Mar*,37.649,1.514,757.0,410.0,1.955,Combined Values,2021
Abr*,35.077,1.465,796.0,446.0,1.678,Combined Values,2021
Mai*,42.646,1.702,1.111,572.0,1.76,Combined Values,2021
Jun*,45.447,1.767,1.171,596.0,1.838,Combined Values,2021
Jul*,47.659,1.822,1.176,626.0,1.915,Combined Values,2021
Ago*,51.839,1.982,1.236,660.0,2.062,Combined Values,2021
Set*,53.823,2.132,1.357,756.0,2.193,Combined Values,2021
Out*,56.233,2.243,1.444,745.0,2.37,Combined Values,2021
Nov*,59.52,2.403,1.599,930.0,2.449,Combined Values,2021
Dez*,59.507,2.277,1.788,952.0,2.584,Combined Values,2021
2021,576.371,1.914,1.212,658.0,2.584,Combined Values,2021
Jan*,18.756,733,499,275,791,1,2022
Fev*,20.465,860,587,303,903,1,2022
Mar*,25.155,963,622,304,998,1,2022
Abr*,24.189,1.008,612,348,1.044,1,2022
Mai*,26.548,1.003,670,358,1.036,1,2022
Jun*,24.725,967,623,364,1.011,1,2022
Jul*,24.863,938,646,380,1.005,1,2022
Ago*,27.296,1.015,645,344,1.057,1,2022
Set*,26.169,1.035,664,346,1.078,1,2022
Out*,26.982,1.059,673,374,1.116,1,2022
Nov*,25.817,1.062,688,381,1.107,1,2022
Dez*,25.019,934,734,417,1.142,1,2022
2022,295.983,964,639,350,1.142,1,2022
Jan*,10.118,408,231,135,444,2,2022
Fev*,11.356,491,271,168,519,2,2022
Mar*,14.201,560,290,169,588,2,2022
Abr*,13.555,588,288,179,608,2,2022
Mai*,15.148,590,311,181,615,2,2022
Jun*,14.080,570,291,199,591,2,2022
Jul*,13.941,548,294,191,570,2,2022
Ago*,15.832,605,303,178,638,2,2022
Set*,15.239,619,315,179,641,2,2022
Out*,15.388,625,317,200,655,2,2022
Nov*,14.574,629,318,194,657,2,2022
Dez*,13.602,530,327,200,657,2,2022
2022,167.033,563,296,181,657,2,2022
Jan*,19.399,758,508,289,824,3,2022
Fev*,21.084,883,592,346,921,3,2022
Mar*,26.073,996,634,345,1.048,3,2022
Abr*,24.646,1.023,618,375,1.048,3,2022
Mai*,26.929,1.010,673,393,1.045,3,2022
Jun*,25.162,980,635,392,1.022,3,2022
Jul*,24.987,948,638,379,998,3,2022
Ago*,27.388,1.015,640,372,1.060,3,2022
Set*,26.224,1.035,664,358,1.077,3,2022
Out*,26.821,1.051,665,379,1.097,3,2022
Nov*,25.901,1.063,695,396,1.110,3,2022
Dez*,25.432,945,784,431,1.145,3,2022
2022,300.044,976,646,371,1.145,3,2022
Jan*,1.962,79.0,47.0,25.0,86.0,15,2022
Fev*,2.198,94.0,56.0,31.0,102.0,15,2022
Mar*,2.678,104.0,59.0,32.0,109.0,15,2022
Abr*,2.544,109.0,58.0,34.0,114.0,15,2022
Mai*,2.814,109.0,63.0,35.0,111.0,15,2022
Jun*,2.669,108.0,59.0,34.0,115.0,15,2022
Jul*,2.576,104.0,46.0,29.0,108.0,15,2022
Ago*,2.824,110.0,60.0,28.0,117.0,15,2022
Set*,2.799,114.0,58.0,34.0,118.0,15,2022
Out*,2.795,114.0,54.0,35.0,118.0,15,2022
Nov*,2.742,117.0,57.0,37.0,124.0,15,2022
