,date,total,business_day_mean,saturday_mean,sunday_mean,max,line
0,2022-01-01,13688000,542000,351000,190000,585000,1
1,2022-02-01,14891000,634000,415000,196000,667000,1
2,2022-03-01,18216000,706000,436000,198000,734000,1
3,2022-04-01,17547000,742000,430000,235000,771000,1
4,2022-05-01,19350000,738000,473000,242000,765000,1
5,2022-06-01,17926000,710000,437000,242000,746000,1
6,2022-07-01,18175000,690000,459000,265000,752000,1
7,2022-08-01,19922000,747000,454000,232000,779000,1
8,2022-09-01,19046000,761000,466000,237000,796000,1
9,2022-10-01,19679000,782000,475000,257000,828000,1
10,2022-11-01,18677000,782000,484000,263000,816000,1
11,2022-12-01,18176000,691000,511000,291000,845000,1
12,2022-01-01,7484000,302000,169000,100000,331000,2
13,2022-02-01,8486000,367000,198000,129000,389000,2
14,2022-03-01,10739000,424000,215000,130000,444000,2
15,2022-04-01,10196000,444000,212000,134000,459000,2
16,2022-05-01,11447000,447000,228000,135000,468000,2
17,2022-06-01,10638000,431000,214000,153000,447000,2
18,2022-07-01,10490000,413000,222000,146000,430000,2
19,2022-08-01,12057000,460000,231000,136000,487000,2
20,2022-09-01,11553000,470000,235000,135000,490000,2
21,2022-10-01,11672000,475000,238000,150000,498000,2
22,2022-11-01,11039000,477000,237000,144000,501000,2
23,2022-12-01,10182000,396000,248000,151000,495000,2
24,2022-01-01,16226000,639000,411000,235000,696000,3
25,2022-02-01,17630000,743000,478000,289000,775000,3
26,2022-03-01,21835000,840000,513000,287000,895000,3
27,2022-04-01,20508000,859000,499000,308000,877000,3
28,2022-05-01,22453000,847000,542000,324000,877000,3
29,2022-06-01,20959000,823000,514000,322000,858000,3
30,2022-07-01,20746000,795000,511000,303000,833000,3
31,2022-08-01,22792000,849000,513000,305000,888000,3
32,2022-09-01,21793000,865000,534000,290000,910000,3
33,2022-10-01,22203000,878000,533000,305000,918000,3
34,2022-11-01,21421000,889000,560000,320000,928000,3
35,2022-12-01,21117000,793000,642000,348000,959000,3
36,2022-01-01,1142000,46000,28000,14000,50000,15
37,2022-02-01,1294000,55000,34000,18000,59000,15
38,2022-03-01,1587000,62000,36000,18000,64000,15
39,2022-04-01,1507000,64000,36000,19000,69000,15
40,2022-05-01,1674000,64000,39000,20000,66000,15
41,2022-06-01,1596000,64000,35000,20000,70000,15
42,2022-07-01,1517000,62000,26000,16000,64000,15
43,2022-08-01,1709000,67000,28000,17000,69000,15
44,2022-09-01,1661000,68000,34000,20000,74000,15
45,2022-10-01,1679000,69000,33000,19000,71000,15
46,2022-11-01,1654000,71000,34000,22000,74000,15
47,2022-12-01,1555000,62000,25000,19000,75000,15
