month,line,station,dpea
2021-01-01,3,Palmeiras-Barra Funda,95.0
2021-01-01,3,Marechal Deodoro ,18.0
2021-01-01,3,Santa Cecília ,16.0
2021-01-01,3,República,72.0
2021-01-01,3,Anhangabaú,32.0
2021-01-01,3,Sé,123.0
2021-01-01,3,Pedro II ,13.0
2021-01-01,3,Brás,66.0
2021-01-01,3,Bresser-Moóca ,19.0
2021-01-01,3,Corinthians-Itaquera,54.0
2021-01-01,3,Tatuapé,50.0
2021-01-01,3,Carrão ,26.0
2021-01-01,3,Penha ,18.0
2021-01-01,3,Vila Matilde ,16.0
2021-01-01,3,Guilhermina-Esperança ,13.0
2021-01-01,3,Patriarca ,13.0
2021-01-01,3,Artur Alvim,37.0
2021-01-01,3,Belém ,25.0
2021-02-01,3,Corinthians-Itaquera,56.0
2021-02-01,3,Palmeiras-Barra Funda,101.0
2021-02-01,3,Marechal Deodoro ,19.0
2021-02-01,3,Santa Cecília ,17.0
2021-02-01,3,República,76.0
2021-02-01,3,Anhangabaú,33.0
2021-02-01,3,Sé,129.0
2021-02-01,3,Pedro II ,14.0
2021-02-01,3,Brás,70.0
2021-02-01,3,Bresser-Moóca ,21.0
2021-02-01,3,Patriarca ,14.0
2021-02-01,3,Guilhermina-Esperança ,13.0
2021-02-01,3,Vila Matilde ,17.0
2021-02-01,3,Artur Alvim,39.0
2021-02-01,3,Carrão ,28.0
2021-02-01,3,Tatuapé,52.0
2021-02-01,3,Belém ,27.0
2021-02-01,3,Penha ,19.0
2021-03-01,3,Pedro II ,12.0
2021-03-01,3,Palmeiras-Barra Funda,82.0
2021-03-01,3,Marechal Deodoro ,16.0
2021-03-01,3,Santa Cecília ,14.0
2021-03-01,3,República,58.0
2021-03-01,3,Anhangabaú,26.0
2021-03-01,3,Sé,101.0
2021-03-01,3,Brás,57.0
2021-03-01,3,Artur Alvim,32.0
2021-03-01,3,Belém ,23.0
2021-03-01,3,Tatuapé,41.0
2021-03-01,3,Carrão ,23.0
2021-03-01,3,Penha ,15.0
2021-03-01,3,Vila Matilde ,14.0
2021-03-01,3,Guilhermina-Esperança ,11.0
2021-03-01,3,Patriarca ,11.0
2021-03-01,3,Bresser-Moóca ,17.0
2021-03-01,3,Corinthians-Itaquera,46.0
2021-04-01,3,Sé,98.0
2021-04-01,3,Anhangabaú,25.0
2021-04-01,3,Palmeiras-Barra Funda,78.0
2021-04-01,3,Santa Cecília ,14.0
2021-04-01,3,Marechal Deodoro ,15.0
2021-04-01,3,Pedro II ,11.0
2021-04-01,3,República,56.0
2021-04-01,3,Brás,55.0
2021-04-01,3,Carrão ,22.0
2021-04-01,3,Belém ,22.0
2021-04-01,3,Corinthians-Itaquera,45.0
2021-04-01,3,Bresser-Moóca ,16.0
2021-04-01,3,Patriarca ,11.0
2021-04-01,3,Artur Alvim,32.0
2021-04-01,3,Vila Matilde ,13.0
2021-04-01,3,Tatuapé,40.0
2021-04-01,3,Guilhermina-Esperança ,11.0
2021-04-01,3,Penha ,15.0
2021-05-01,3,Marechal Deodoro ,17.0
2021-05-01,3,Santa Cecília ,16.0
2021-05-01,3,Anhangabaú,29.0
2021-05-01,3,Sé,116.0
2021-05-01,3,Pedro II ,12.0
2021-05-01,3,Brás,64.0
2021-05-01,3,Bresser-Moóca ,19.0
2021-05-01,3,Palmeiras-Barra Funda,87.0
2021-05-01,3,Tatuapé,47.0
2021-05-01,3,Belém ,24.0
2021-05-01,3,Corinthians-Itaquera,52.0
2021-05-01,3,Artur Alvim,36.0
2021-05-01,3,Patriarca ,13.0
2021-05-01,3,República,67.0
2021-05-01,3,Vila Matilde ,15.0
2021-05-01,3,Penha ,17.0
2021-05-01,3,Carrão ,25.0
2021-05-01,3,Guilhermina-Esperança ,12.0
2021-06-01,3,Santa Cecília ,16.0
2021-06-01,3,República,70.0
2021-06-01,3,Anhangabaú,31.0
2021-06-01,3,Sé,121.0
2021-06-01,3,Pedro II ,13.0
2021-06-01,3,Brás,65.0
2021-06-01,3,Marechal Deodoro ,17.0
2021-06-01,3,Belém ,25.0
2021-06-01,3,Tatuapé,49.0
2021-06-01,3,Carrão ,26.0
2021-06-01,3,Vila Matilde ,16.0
2021-06-01,3,Guilhermina-Esperança ,13.0
2021-06-01,3,Patriarca ,13.0
2021-06-01,3,Artur Alvim,37.0
