year_month,line,total,MDU (Business Days Mean),MSD (Saturdays Mean),MDO (Sundays Mean),MAX (Daily Max)
2018-08-01,3,38679.0,1440.0,884.0,504.0,1483.0
2018-08-01,1,37775.0,1420.0,832.0,446.0,1466.0
2018-08-01,15,516.0,22.0,,2.0,23.0
2018-08-01,2,18164.0,701.0,318.0,194.0,723.0
2018-08-01,5,7220.0,309.0,176.0,85.0,322.0
2018-08-01,4,20844.0,797.0,397.0,229.0,827.0
2018-09-01,4,18080.0,800.0,411.0,111.0,841.0
2018-09-01,5,7632.0,323.0,182.0,93.0,345.0
2018-09-01,15,445.0,23.0,3.0,2.0,23.0
2018-09-01,2,16246.0,705.0,321.0,202.0,733.0
2018-09-01,1,34371.0,1442.0,822.0,465.0,1521.0
2018-09-01,3,35197.0,1457.0,870.0,515.0,1544.0
2018-10-01,4,18907.0,761.0,362.0,118.0,828.0
2018-10-01,5,10897.0,424.0,227.0,131.0,502.0
2018-10-01,3,38145.0,1460.0,854.0,505.0,1527.0
2018-10-01,1,38308.0,1477.0,836.0,482.0,1524.0
2018-10-01,15,498.0,22.0,,4.0,25.0
2018-10-01,2,18431.0,731.0,326.0,204.0,771.0
2018-11-01,3,35008.0,1493.0,864.0,523.0,1571.0
2018-11-01,1,35499.0,1538.0,843.0,499.0,1611.0
2018-11-01,2,16888.0,769.0,326.0,216.0,804.0
2018-11-01,4,16990.0,735.0,354.0,213.0,802.0
2018-11-01,5,11833.0,505.0,268.0,156.0,552.0
2018-11-01,15,398.0,23.0,6.0,4.0,25.0
2018-12-01,5,12053.0,478.0,301.0,178.0,559.0
2018-12-01,1,34213.0,1425.0,890.0,543.0,1585.0
2018-12-01,2,16283.0,711.0,342.0,237.0,786.0
2018-12-01,3,34178.0,1399.0,933.0,573.0,1552.0
2018-12-01,15,710.0,32.0,14.0,9.0,37.0
2018-12-01,4,16471.0,666.0,373.0,233.0,795.0
2019-01-01,1,32037.0,1258.0,721.0,454.0,1362.0
2019-01-01,3,31644.0,1230.0,736.0,475.0,1332.0
2019-01-01,15,903.0,37.0,17.0,11.0,46.0
2019-01-01,2,15982.0,648.0,292.0,203.0,724.0
2019-01-01,5,11482.0,456.0,251.0,150.0,502.0
2019-01-01,4,16121.0,648.0,313.0,203.0,713.0
2019-02-01,5,12515.0,535.0,293.0,163.0,565.0
2019-02-01,4,18136.0,765.0,437.0,273.0,808.0
2019-02-01,15,1086.0,48.0,21.0,9.0,54.0
2019-02-01,3,33962.0,1420.0,864.0,526.0,1492.0
2019-02-01,1,34705.0,1466.0,851.0,495.0,1544.0
2019-02-01,2,17728.0,768.0,360.0,230.0,808.0
2019-03-01,3,36165.0,1470.0,890.0,556.0,1507.0
2019-03-01,1,36580.0,1519.0,855.0,493.0,1550.0
2019-03-01,2,18610.0,807.0,363.0,230.0,838.0
2019-03-01,4,19278.0,789.0,438.0,268.0,835.0
