year_month,line,total,MDU (Business Days Mean),MSD (Saturdays Mean),MDO (Sundays Mean),MAX (Daily Max)
2019-03-01,5,13332.0,555.0,297.0,167.0,585.0
2019-03-01,15,1374.0,61.0,25.0,14.0,72.0
2019-04-01,5,14285.0,582.0,304.0,166.0,607.0
2019-04-01,4,19644.0,808.0,387.0,227.0,843.0
2019-04-01,15,1532.0,64.0,27.0,14.0,66.0
2019-04-01,1,37571.0,1525.0,816.0,459.0,1558.0
2019-04-01,2,19637.0,818.0,347.0,216.0,832.0
2019-04-01,3,36898.0,1477.0,861.0,492.0,1511.0
2019-05-01,5,14857.0,584.0,309.0,143.0,606.0
2019-05-01,2,20076.0,797.0,358.0,219.0,849.0
2019-05-01,3,38229.0,1461.0,893.0,495.0,1507.0
2019-05-01,4,20654.0,809.0,393.0,257.0,848.0
2019-05-01,1,38705.0,1497.0,848.0,471.0,1548.0
2019-05-01,15,1808.0,73.0,31.0,18.0,77.0
2019-06-01,5,12703.0,543.0,300.0,164.0,583.0
2019-06-01,2,17003.0,771.0,343.0,229.0,801.0
2019-06-01,1,32903.0,1435.0,813.0,458.0,1508.0
2019-06-01,15,1644.0,77.0,33.0,20.0,79.0
2019-06-01,4,18030.0,780.0,398.0,247.0,827.0
2019-06-01,3,32737.0,1411.0,856.0,458.0,1477.0
2019-07-01,15,1778.0,72.0,25.0,20.0,76.0
2019-07-01,3,34013.0,1294.0,830.0,481.0,1329.0
2019-07-01,2,17670.0,701.0,337.0,218.0,729.0
2019-07-01,4,18518.0,730.0,378.0,222.0,760.0
2019-07-01,5,13410.0,523.0,295.0,163.0,546.0
2019-07-01,1,33892.0,1299.0,799.0,462.0,1331.0
2019-08-01,5,15084.0,586.0,312.0,159.0,600.0
2019-08-01,4,20689.0,810.0,394.0,223.0,838.0
2019-08-01,3,37379.0,1424.0,837.0,468.0,1458.0
2019-08-01,2,19825.0,785.0,345.0,209.0,809.0
2019-08-01,15,2029.0,82.0,30.0,20.0,88.0
2019-08-01,1,37779.0,1454.0,808.0,439.0,1497.0
2019-09-01,2,19555.0,808.0,357.0,234.0,829.0
2019-09-01,5,14755.0,601.0,312.0,177.0,629.0
2019-09-01,4,19888.0,818.0,385.0,234.0,855.0
2019-09-01,1,35968.0,1443.0,817.0,481.0,1491.0
2019-09-01,15,2171.0,90.0,38.0,25.0,93.0
2019-09-01,3,36261.0,1447.0,850.0,495.0,1504.0
2019-10-01,4,21387.0,818.0,386.0,255.0,854.0
2019-10-01,5,16098.0,610.0,325.0,190.0,625.0
2019-10-01,1,39719.0,1481.0,914.0,538.0,1539.0
2019-10-01,3,38994.0,1454.0,909.0,520.0,1513.0
2019-10-01,2,21563.0,827.0,394.0,256.0,847.0
2019-10-01,15,2420.0,93.0,47.0,24.0,95.0
2019-11-01,4,19412.0,836.0,392.0,238.0,872.0
2019-11-01,5,14569.0,622.0,316.0,182.0,644.0
2019-11-01,2,19075.0,830.0,379.0,240.0,853.0
2019-11-01,3,35360.0,1463.0,892.0,506.0,1513.0
2019-11-01,15,2030.0,94.0,23.0,24.0,96.0
2019-11-01,1,35360.0,1477.0,873.0,491.0,1532.0
2019-12-01,15,1953.0,87.0,29.0,17.0,96.0
2019-12-01,3,33225.0,1332.0,924.0,557.0,1479.0
2019-12-01,2,17616.0,745.0,375.0,260.0,844.0
2019-12-01,5,14031.0,548.0,217.0,119.0,649.0
2019-12-01,1,32888.0,1330.0,887.0,537.0,1500.0
2019-12-01,4,17788.0,703.0,400.0,261.0,859.0
2020-01-01,5,13660.0,535.0,279.0,167.0,580.0
2020-01-01,15,2419.0,98.0,35.0,21.0,111.0
2020-01-01,3,31597.0,1213.0,721.0,428.0,1319.0
2020-01-01,2,17665.0,702.0,308.0,208.0,775.0
2020-01-01,4,17750.0,702.0,335.0,202.0,777.0
2020-01-01,1,31546.0,1214.0,705.0,428.0,1344.0
2020-02-01,15,2497.0,116.0,60.0,27.0,122.0
2020-02-01,2,18033.0,826.0,390.0,257.0,870.0
2020-02-01,5,13806.0,587.0,330.0,196.0,650.0
2020-02-01,1,32483.0,1410.0,856.0,494.0,1483.0
2020-02-01,4,18294.0,763.0,441.0,310.0,853.0
2020-02-01,3,31992.0,1382.0,860.0,528.0,1451.0
2020-03-01,15,,,,,
2020-03-01,2,12945.0,515.0,217.0,148.0,839.0
2020-03-01,4,13139.0,521.0,232.0,151.0,861.0
2020-03-01,5,10674.0,419.0,208.0,126.0,652.0
2020-03-01,3,24332.0,939.0,511.0,325.0,1478.0
2020-03-01,1,23635.0,918.0,484.0,302.0,1493.0
2020-04-01,4,3806.0,158.0,83.0,48.0,174.0
2020-04-01,5,3695.0,150.0,89.0,51.0,166.0
2020-04-01,15,,,,,
2020-04-01,1,6868.0,277.0,164.0,102.0,317.0
2020-04-01,2,3726.0,155.0,78.0,49.0,168.0
2020-04-01,3,7984.0,323.0,189.0,117.0,362.0
2020-05-01,2,4000.0,171.0,86.0,53.0,178.0
2020-05-01,3,8889.0,369.0,215.0,127.0,385.0
2020-05-01,1,7700.0,318.0,188.0,111.0,333.0
2020-05-01,5,4008.0,167.0,99.0,56.0,175.0
2020-05-01,4,4062.0,175.0,91.0,49.0,182.0
2020-05-01,15,,,,,
2020-06-01,15,663.0,27.0,15.0,9.0,39.0
2020-06-01,1,10074.0,391.0,239.0,128.0,438.0
2020-06-01,3,11542.0,448.0,272.0,152.0,494.0
2020-06-01,5,5139.0,200.0,121.0,65.0,221.0
2020-06-01,4,5278.0,208.0,113.0,60.0,230.0
2020-06-01,2,5210.0,206.0,106.0,61.0,233.0
2020-07-01,3,14675.0,546.0,359.0,182.0,593.0
2020-07-01,2,6651.0,254.0,137.0,73.0,281.0
2020-07-01,15,1161.0,44.0,26.0,13.0,49.0
2020-07-01,1,13023.0,484.0,322.0,155.0,527.0
2020-07-01,4,6746.0,255.0,149.0,71.0,276.0
2020-07-01,5,6544.0,244.0,156.0,78.0,264.0
2020-08-01,4,7324.0,290.0,168.0,81.0,312.0
2020-08-01,5,7100.0,277.0,172.0,85.0,299.0
2020-08-01,15,1333.0,52.0,32.0,16.0,57.0
2020-08-01,3,15807.0,610.0,398.0,202.0,660.0
2020-08-01,2,7393.0,295.0,158.0,83.0,314.0
2020-08-01,1,14306.0,553.0,363.0,174.0,596.0
2020-09-01,2,8150.0,329.0,181.0,97.0,344.0
2020-09-01,3,17121.0,671.0,453.0,233.0,698.0
2020-09-01,4,7980.0,320.0,193.0,95.0,338.0
2020-09-01,5,7728.0,306.0,196.0,98.0,323.0
2020-09-01,1,15697.0,616.0,419.0,207.0,643.0
2020-09-01,15,1513.0,60.0,38.0,20.0,63.0
2020-10-01,4,8892.0,347.0,208.0,107.0,368.0
2020-10-01,5,8614.0,334.0,208.0,105.0,348.0
2020-10-01,3,18881.0,722.0,482.0,252.0,759.0
2020-10-01,2,9020.0,356.0,196.0,107.0,371.0
2020-10-01,1,17480.0,668.0,453.0,224.0,698.0
2020-10-01,15,1650.0,64.0,39.0,21.0,68.0
2020-11-01,1,17630.0,703.0,503.0,259.0,736.0
2020-11-01,2,9080.0,374.0,217.0,124.0,387.0
2020-11-01,4,8976.0,365.0,234.0,122.0,385.0
2020-11-01,15,1631.0,66.0,42.0,24.0,70.0
2020-11-01,3,18956.0,754.0,538.0,289.0,798.0
2020-11-01,5,8669.0,346.0,233.0,116.0,372.0
2020-12-01,15,1692.0,68.0,42.0,23.0,73.0
2020-12-01,3,19256.0,758.0,512.0,283.0,839.0
2020-12-01,2,8889.0,364.0,197.0,114.0,394.0
2020-12-01,1,17629.0,696.0,467.0,252.0,757.0
2020-12-01,4,8785.0,337.0,213.0,114.0,392.0
2020-12-01,5,8844.0,337.0,222.0,118.0,385.0
2021-01-01,15,1571.0,66.0,34.0,21.0,70.0
2021-01-01,3,17091.0,706.0,401.0,241.0,750.0
2021-01-01,2,8244.0,353.0,166.0,102.0,373.0
2021-01-01,1,15890.0,656.0,376.0,224.0,695.0
2021-01-01,5,8033.0,336.0,183.0,104.0,360.0
2021-01-01,4,8042.0,341.0,172.0,101.0,365.0
2021-02-01,3,17626.0,746.0,463.0,256.0,772.0
2021-02-01,5,8374.0,356.0,214.0,112.0,370.0
2021-02-01,4,8395.0,360.0,206.0,110.0,375.0
2021-02-01,1,16415.0,692.0,436.0,231.0,714.0
2021-02-01,2,8559.0,376.0,196.0,110.0,383.0
2021-02-01,15,1575.0,68.0,39.0,21.0,72.0
2021-03-01,3,14996.0,599.0,310.0,172.0,779.0
2021-03-01,15,1457.0,58.0,30.0,16.0,69.0
2021-03-01,2,7496.0,308.0,136.0,73.0,386.0
2021-03-01,5,7430.0,299.0,153.0,77.0,377.0
2021-03-01,4,7060.0,288.0,135.0,69.0,373.0
2021-03-01,1,13700.0,548.0,282.0,149.0,721.0
2021-04-01,1,12800.0,532.0,299.0,163.0,613.0
2021-04-01,4,6530.0,276.0,141.0,77.0,317.0
2021-04-01,5,6913.0,289.0,160.0,84.0,327.0
2021-04-01,15,1355.0,57.0,31.0,17.0,63.0
2021-04-01,3,13943.0,578.0,323.0,184.0,664.0
2021-04-01,2,6979.0,297.0,143.0,83.0,338.0
2021-05-01,3,16848.0,669.0,451.0,233.0,695.0
2021-05-01,2,8472.0,344.0,197.0,106.0,358.0
2021-05-01,1,15759.0,625.0,425.0,213.0,647.0
2021-05-01,5,8408.0,328.0,200.0,105.0,349.0
2021-05-01,4,8284.0,324.0,193.0,103.0,346.0
2021-05-01,15,1566.0,64.0,39.0,21.0,66.0
2021-06-01,3,17862.0,693.0,471.0,230.0,725.0
2021-06-01,2,9094.0,360.0,210.0,115.0,371.0
2021-06-01,1,16821.0,649.0,448.0,228.0,676.0
2021-06-01,5,8844.0,341.0,222.0,114.0,359.0
2021-06-01,4,8721.0,336.0,216.0,114.0,357.0
2021-06-01,15,1670.0,65.0,42.0,23.0,67.0
2021-07-01,15,1794.0,73.0,33.0,18.0,76.0
2021-07-01,2,9528.0,371.0,211.0,121.0,388.0
2021-07-01,1,17642.0,667.0,457.0,240.0,703.0
2021-07-01,3,18695.0,711.0,475.0,246.0,747.0
2021-07-01,4,9139.0,350.0,222.0,119.0,373.0
2021-07-01,5,9147.0,351.0,221.0,118.0,374.0
2021-08-01,5,10004.0,384.0,235.0,124.0,400.0
2021-08-01,4,10049.0,386.0,231.0,129.0,405.0
2021-08-01,15,2018.0,80.0,40.0,20.0,83.0
2021-08-01,3,20129.0,766.0,495.0,259.0,801.0
2021-08-01,1,19118.0,724.0,480.0,252.0,754.0
2021-08-01,2,10574.0,411.0,221.0,130.0,432.0
2021-09-01,5,10097.0,399.0,251.0,137.0,412.0
2021-09-01,4,10409.0,409.0,252.0,149.0,431.0
2021-09-01,1,20063.0,787.0,529.0,292.0,812.0
2021-09-01,3,20704.0,819.0,535.0,289.0,868.0
2021-09-01,2,10966.0,442.0,244.0,152.0,453.0
2021-09-01,15,2090.0,85.0,49.0,23.0,89.0
2021-10-01,2,11359.0,466.0,259.0,143.0,488.0
2021-10-01,1,21100.0,831.0,570.0,285.0,880.0
2021-10-01,3,21708.0,858.0,574.0,299.0,907.0
2021-10-01,15,2066.0,88.0,41.0,18.0,94.0
2021-10-01,4,10956.07,434.81,272.26,146.87,478.42
2021-10-01,5,10470.44,416.75,263.12,130.84,440.64
2021-11-01,4,11712.12,469.24,300.21,188.66,497.47
2021-11-01,5,10990.58,442.99,285.38,160.61,459.23
2021-11-01,15,2261.0,95.0,54.0,31.0,99.0
2021-11-01,3,22937.0,918.0,639.0,367.0,939.0
2021-11-01,1,22338.0,894.0,626.0,352.0,913.0
2021-11-01,2,11985.0,497.0,280.0,180.0,512.0
2021-12-01,15,2203.0,86.0,61.0,27.0,100.0
2021-12-01,3,23052.0,874.0,717.0,381.0,994.0
2021-12-01,5,11037.81,405.61,261.28,165.94,479.79
2021-12-01,2,11954.0,469.0,310.0,181.0,535.0
2021-12-01,4,11566.89,423.65,272.63,183.1,514.81
2021-12-01,1,22297.0,847.0,699.0,363.0,961.0
2022-01-01,5,9286.51,364.58,202.18,123.9,397.23
2022-01-01,2,10118.0,408.0,231.0,135.0,444.0
2022-01-01,15,1962.0,79.0,47.0,25.0,86.0
2022-01-01,3,19399.0,758.0,508.0,289.0,824.0
2022-01-01,1,18756.0,733.0,499.0,275.0,791.0
2022-01-01,4,9745.14,381.81,209.48,135.96,420.11
2022-02-01,5,10180.0,426.0,270.0,145.0,450.0
2022-02-01,4,10885.0,450.0,289.0,180.0,486.0
2022-02-01,1,20465.0,860.0,587.0,303.0,903.0
2022-02-01,2,11356.0,491.0,271.0,168.0,519.0
2022-02-01,15,2198.0,94.0,56.0,31.0,102.0
2022-02-01,3,21084.0,883.0,592.0,346.0,921.0
2022-03-01,2,14201.0,560.0,290.0,169.0,588.0
2022-03-01,5,12297.0,469.0,288.0,151.0,500.0
2022-03-01,4,13697.0,523.0,322.0,172.0,575.0
2022-03-01,3,26073.0,996.0,634.0,345.0,1048.0
2022-03-01,15,2678.0,104.0,59.0,32.0,109.0
2022-03-01,1,25155.0,963.0,622.0,304.0,998.0
2022-04-01,5,11533.0,482.0,276.0,155.0,500.0
2022-04-01,3,24646.0,1023.0,618.0,375.0,1048.0
2022-04-01,2,13555.0,588.0,288.0,179.0,608.0
2022-04-01,1,24189.0,1008.0,612.0,348.0,1044.0
2022-04-01,4,13019.0,550.0,299.0,165.0,591.0
2022-04-01,15,2544.0,109.0,58.0,34.0,114.0
2022-05-01,15,2814.0,109.0,63.0,35.0,111.0
2022-05-01,3,26929.0,1010.0,673.0,393.0,1045.0
2022-05-01,1,26548.0,1003.0,670.0,358.0,1036.0
2022-05-01,4,14873.24,569.18,337.49,200.28,606.09
2022-05-01,5,12740.79,488.3,299.87,159.75,507.22
2022-05-01,2,15148.0,590.0,311.0,181.0,615.0
2022-06-01,2,14080.0,570.0,291.0,199.0,591.0
2022-06-01,15,2669.0,108.0,59.0,34.0,115.0
2022-06-01,4,14239.84,559.54,322.67,223.49,587.65
2022-06-01,5,12099.73,479.0,283.96,155.88,541.79
2022-06-01,1,24725.0,967.0,623.0,364.0,1011.0
2022-06-01,3,25162.0,980.0,635.0,392.0,1022.0
2022-07-01,1,24863.0,938.0,646.0,380.0,1005.0
2022-07-01,2,13941.0,548.0,294.0,191.0,570.0
2022-07-01,3,24987.0,948.0,638.0,379.0,998.0
2022-07-01,15,2576.0,104.0,46.0,29.0,108.0
2022-07-01,5,12042.05,466.2,285.91,164.46,484.27
2022-07-01,4,14178.13,548.41,328.38,203.91,586.31
2022-08-01,3,27388.0,1015.0,640.0,372.0,1060.0
2022-08-01,15,2824.0,110.0,60.0,28.0,117.0
2022-08-01,2,15832.0,605.0,303.0,178.0,638.0
2022-08-01,1,27296.0,1015.0,645.0,344.0,1057.0
2022-08-01,5,13310.68,500.75,292.18,156.23,519.06
2022-08-01,4,15871.08,599.54,327.55,192.89,640.13
2022-09-01,15,2799.0,114.0,58.0,34.0,118.0
2022-09-01,3,26224.0,1035.0,664.0,358.0,1077.0
2022-09-01,1,26169.0,1035.0,664.0,346.0,1078.0
2022-09-01,2,15239.0,619.0,315.0,179.0,641.0
2022-09-01,4,15427.31,619.43,341.23,205.33,653.67
2022-09-01,5,12606.29,505.5,298.03,153.91,517.4
2022-10-01,15,2795.0,114.0,54.0,35.0,118.0
2022-10-01,3,26821.0,1051.0,665.0,379.0,1097.0
2022-10-01,1,26982.0,1059.0,673.0,374.0,1116.0
2022-10-01,2,15388.0,625.0,317.0,200.0,655.0
2022-10-01,5,12854.25,512.52,301.32,176.27,533.04
2022-10-01,4,15642.63,626.43,350.85,224.48,660.21
2022-11-01,3,25901.0,1063.0,695.0,396.0,1110.0
2022-11-01,15,2742.0,117.0,57.0,37.0,124.0
2022-11-01,1,25817.0,1062.0,688.0,381.0,1107.0
2022-11-01,5,12404.96,503.71,314.49,169.51,538.67
2022-11-01,2,14574.0,629.0,318.0,194.0,657.0
2022-11-01,4,14955.05,613.22,357.0,205.72,659.99
2022-12-01,4,14236.08,544.98,299.08,187.76,693.28
2022-12-01,1,25019.0,934.0,734.0,417.0,1142.0
2022-12-01,3,25432.0,945.0,784.0,431.0,1145.0
2022-12-01,2,13602.0,530.0,327.0,200.0,657.0
2022-12-01,15,2519.0,99.0,48.0,32.0,121.0
2022-12-01,5,11837.35,448.87,264.37,160.11,550.56
2023-01-01,2,13130.0,519.0,285.0,180.0,588.0
2023-01-01,4,13605.41,530.98,311.82,186.86,594.24
2023-01-01,5,10976.23,427.2,271.01,139.44,468.66
2023-01-01,1,23408.0,891.0,623.0,363.0,982.0
2023-01-01,3,23278.0,887.0,603.0,372.0,978.0
2023-01-01,15,2519.0,99.0,57.0,34.0,114.0
2023-02-01,15,2576.0,117.0,61.0,36.0,125.0
2023-02-01,3,23296.0,1012.0,657.0,395.0,1065.0
2023-02-01,5,11015.86,473.46,289.52,161.31,516.8
2023-02-01,4,13777.19,580.3,387.56,224.68,639.51
2023-02-01,1,23465.0,1025.0,660.0,375.0,1075.0
2023-02-01,2,13364.0,609.0,311.0,196.0,643.0
2023-03-01,2,16048.0,649.0,325.0,201.0,678.0
2023-03-01,1,27945.0,1087.0,692.0,384.0,1120.0
2023-03-01,5,13455.77,503.11,305.23,165.84,535.97
2023-03-01,4,17370.64,649.07,389.01,221.48,711.99
2023-03-01,15,2876.0,120.0,65.0,35.0,128.0
2023-03-01,3,27409.0,1067.0,676.0,387.0,1096.0
2023-04-01,3,25011.0,1066.0,627.0,371.0,1157.0
2023-04-01,2,14544.0,649.0,299.0,189.0,671.0
2023-04-01,4,15070.57,661.45,338.3,201.58,701.71
2023-04-01,5,11792.22,510.81,282.42,160.71,527.25
2023-04-01,1,25545.0,1091.0,639.0,375.0,1130.0
2023-04-01,15,2827.0,124.0,63.0,37.0,127.0
