,date,line,total,business_day_mean,saturday_mean,sunday_mean,max
0,2023-01-01,15,1505,59,35,20,66.0
1,2023-02-01,15,1531,69,38,21,76.0
2,2023-03-01,15,1692,72,40,21,74.0
3,2023-04-01,15,1653,72,37,22,74.0
