,date,line,total,business_day_mean,saturday_mean,sunday_mean,max
0,2022-01-01,3,16226,639,411,235,696.0
1,2022-02-01,3,17630,743,478,289,775.0
2,2022-03-01,3,21835,840,513,287,895.0
3,2022-04-01,3,20508,859,499,308,877.0
4,2022-05-01,3,22453,847,542,324,877.0
5,2022-06-01,3,20959,823,514,322,858.0
6,2022-07-01,3,20746,795,511,303,833.0
7,2022-08-01,3,22792,849,513,305,888.0
8,2022-09-01,3,21793,865,534,290,910.0
9,2022-10-01,3,22203,878,533,305,918.0
10,2022-11-01,3,21421,889,560,320,928.0
11,2022-12-01,3,21117,793,642,348,959.0
