,date,line,total,business_day_mean,saturday_mean,sunday_mean,max
0,2023-01-01,2,9831,390,208,134,446.0
1,2023-02-01,2,10104,461,231,148,490.0
2,2023-03-01,2,12263,494,241,153,520.0
3,2023-04-01,2,10961,492,219,140,512.0
