,date,line,total,business_day_mean,saturday_mean,sunday_mean,max
0,2021-01-01,3,14433,601,329,197,639.0
1,2021-02-01,3,14848,635,379,212,658.0
2,2021-03-01,3,12699,511,256,144,664.0
3,2021-04-01,3,11808,493,266,153,566.0
4,2021-05-01,3,14212,568,369,191,592.0
5,2021-06-01,3,15052,589,384,184,617.0
6,2021-07-01,3,15736,603,387,198,635.0
7,2021-08-01,3,16941,650,402,209,680.0
8,2021-09-01,3,17307,691,432,231,742.0
9,2021-10-01,3,18109,723,463,243,764.0
10,2021-11-01,3,19133,773,517,298,792.0
11,2021-12-01,3,19290,737,582,310,850.0
