year_month,line_color,Total,Média dos Dias Úteis,Média dos Sábados,Média dos Domingos,Máxima Diária
Fevereiro 2022,Esmeralda,7.625,319,199,110,342
Março 2022,Esmeralda,9.523,362,222,125,449
Abril 2022,Esmeralda,8.764,375,188,105,391
Maio 2022,Esmeralda,"9.780,98","379,16","214,72","116,11","400,09"
Junho 2022,Esmeralda,"9.400,91","376,45","209,19","114,71","425,94"
Julho 2022,Esmeralda,"9.583,76","376,90","210,64","123,14","394,72"
Agosto 2022,Esmeralda,"10.641,85","405,48","212,67","116,28","429,54"
Setembro 2022,Esmeralda,"10.201,99","414,96","219,88","117,06","432,84"
Outubro 2022,Esmeralda,"10.404,76","424,03","222,09","128,84","446,96"
Novembro 2022,Esmeralda,"10.329,73","423,10","248,24","142,49","456,00"
Dezembro 2022,Esmeralda,"10.038,63","388,00","200,09","125,53","477,23"
