INFORMAÇÕES SOBRE A DEMANDA - NOVEMBRO/2018;;;;;
;;;;;
ENTRADA DE PASSAGEIROS POR LINHA¹;;;;;
;;;;;
DEMANDA (milhares);Linha 1-Azul ;Linha 2-Verde;Linha 3-Vermelha;Linha 15-Prata ;Rede
Total;26.174;13.531;28.899;219;68.822
Média dos dias úteis ;1.145;617;1.241;13;3.016
Média dos Sábados ;611;256;700;3;1.567
Média dos Domingos ;353;172;425;2;951
Máxima Diária ;1.198;647;1.307;14;3.164
¹ Corresponde às entradas pelas linhas de bloqueios;;;;;
A partir de 04/08/18, a Linha 5 - Lilás passou a ser operada em regime de concessão pela Via Mobilidade.;;;;;
Fonte: Diretoria de Operações / Coordenadoria de Informações Gerenciais e Estudos Estratégicos - 11/12/2018;;;;;
