INFORMAÇÕES SOBRE A DEMANDA - NOVEMBRO/2018;;;;;
;;;;;
PASSAGEIROS TRANSPORTADOS POR LINHA¹;;;;;
;;;;;
DEMANDA (milhares);Linha 1-Azul ;Linha 2-Verde;Linha 3-Vermelha;Linha 15 - Prata ;Rede
Total;35.499;16.888;35.008;398;87.792
Média dos dias úteis ;1.538;769;1.493;23;3.822
Média dos Sábados ;843;326;864;6;2.034
Média dos Domingos ;499;216;523;4;1.240
Máxima Diária ;1.611;804;1.571;25;4.009
¹ Corresponde à soma das entradas pela linha de bloqueios com as transferências entre linhas nas estações Sé, Paraíso, Ana Rosa e Vila Prudente;;;;;
A partir de 04/08/18, a Linha 5-Lilás passou a ser operada em regime de concessão pela Via Mobilidade.;;;;;
Fonte: Diretoria de Operações / Coordenadoria de Informações Gerenciais e Estudos Estratégicos - 11/12/2018;;;;;
