;;;;
INFORMAÇÕES SOBRE A OFERTA - 2023;;;;
;;;;
Intervalo mínimo entre trens (segundos);;;;
Mês;Linha 1-Azul ;Linha 2-Verde;Linha 3-Vermelha;Linha 15-Prata 
Jan*;140;143;151;206
Fev*;119;136;119;184
Mar*;119;136;119;184
Abr*;119;136;119;184
Mai;;;;
Jun;;;;
Jul;;;;
Ago;;;;
Set;;;;
Out;;;;
Nov;;;;
Dez;;;;
* Resultado influenciado pela pandemia do novo Coronavírus anunciada pela Organização Mundial da Saúde em 11/03/2020;;;;
;;;;
Velocidade comercial (Km/h) ;;;;
Mês;Linha 1-Azul ;Linha 2-Verde;Linha 3-Vermelha;Linha 15-Prata 
Jan*;30;32;37;34
Fev*;30;32;37;34
Mar*;30;32;37;34
Abr*;30;32;37;34
Mai;;;;
Jun;;;;
Jul;;;;
Ago;;;;
Set;;;;
Out;;;;
Nov;;;;
Dez;;;;
* Resultado influenciado pela pandemia do novo Coronavírus anunciada pela Organização Mundial da Saúde em 11/03/2020;;;;
;;;;
Fonte: Diretoria de Operações/Depto Apoio à Gestão/Coord. Estudos Estatísticos e Informações Estratégicas - 09/05/2023;;;;
;;;;
;;;;
