METRÔ DE SÃO PAULO;;;;
INFORMAÇÕES SOBRE A OFERTA - 2022;;;;
;;;;
Intervalo mínimo entre trens (segundos);;;;
Mês;Linha 1-Azul ;Linha 2-Verde;Linha 3-Vermelha;Linha 15-Prata 
Jan*;134;150;127;202
Fev*;126;146;120;196
Mar*;120;134;119;196
Abr*;119;134;119;196
Mai*;119;133;119;196
Jun*;119;133;119;196
Jul*;119;133;119;196
Ago*;119;133;119;196
Set*;119;130;119;188
Out*;119;128;119;188
Nov*;119;128;119;184
Dez*;127;142;124;192
* Resultado influenciado pela pandemia do novo Coronavírus anunciada pela Organização Mundial da Saúde em 11/03/2020;;;;
;;;;
Velocidade comercial (Km/h) ;;;;
Mês;Linha 1-Azul ;Linha 2-Verde;Linha 3-Vermelha;Linha 15-Prata 
Jan*;31;33;37;34
Fev*;31;33;37;34
Mar*;31;33;37;34
Abr*;31;33;37;34
Mai*;31;33;37;34
Jun*;31;33;37;34
Jul*;31;33;37;34
Ago*;31;33;37;34
Set*;31;32;37;35
Out*;31;32;37;35
Nov*;31;32;37;34
Dez*;30;33;37;34
* Resultado influenciado pela pandemia do novo Coronavírus anunciada pela Organização Mundial da Saúde em 11/03/2020;;;;
;;;;
Fonte: Diretoria de Operações/Depto Apoio à Gestão/Coord. Estudos Estatísticos e Informações Estratégicas - 18/01/2023;;;;
