;;;;
INFORMAÇÕES SOBRE A OFERTA - 2021;;;;
;;;;
Intervalo mínimo entre trens (segundos);;;;
Mês;Linha 1-Azul ;Linha 2-Verde;Linha 3-Vermelha;Linha 15-Prata 
Jan*;125;174;120;235
Fev*;125;174;124;235
Mar*;123;174;120;217
Abr*;123;174;120;217
Mai*;123;174;120;210
Jun*;123;174;120;210
Jul*;123;174;120;210
Ago*;123;166;121;210
Set*;119;133;119;196
Out*;119;133;119;184
Nov*;119;133;119;184
Dez*;119;133;119;184
* Resultado influenciado pela pandemia do novo Coronavírus anunciada pela Organização Mundial da Saúde em 11/03/2020;;;;
;;;;
Velocidade comercial (Km/h) ;;;;
Mês;Linha 1-Azul ;Linha 2-Verde;Linha 3-Vermelha;Linha 15-Prata 
Jan*;33;32;38;33
Fev*;33;32;37;33
Mar*;33;32;37;33
Abr*;32;32;37;33
Mai*;32;32;37;34
Jun*;32;32;37;34
Jul*;32;32;37;34
Ago*;32;32;37;34
Set*;31;33;37;34
Out*;31;33;37;34
Nov*;31;33;37;34
Dez*;31;33;37;34
* Resultado influenciado pela pandemia do novo Coronavírus anunciada pela Organização Mundial da Saúde em 11/03/2020;;;;
;;;;
Fonte: Diretoria de Operações/Depto Apoio à Gestão/Coord. Estudos Estatísticos e Informações Estratégicas - 13/09/2022;;;;
;;;;
;;;;
