line,date,interval
blue,2021-01-01,125
green,2021-01-01,174
red,2021-01-01,120
silver,2021-01-01,235
blue,2021-02-01,125
green,2021-02-01,174
red,2021-02-01,124
silver,2021-02-01,235
blue,2021-03-01,123
green,2021-03-01,174
red,2021-03-01,120
silver,2021-03-01,217
blue,2021-04-01,123
green,2021-04-01,174
red,2021-04-01,120
silver,2021-04-01,217
blue,2021-05-01,123
green,2021-05-01,174
red,2021-05-01,120
silver,2021-05-01,210
blue,2021-06-01,123
green,2021-06-01,174
red,2021-06-01,120
silver,2021-06-01,210
blue,2021-07-01,123
green,2021-07-01,174
red,2021-07-01,120
silver,2021-07-01,210
blue,2021-08-01,123
green,2021-08-01,166
red,2021-08-01,121
silver,2021-08-01,210
blue,2021-09-01,119
green,2021-09-01,133
red,2021-09-01,119
silver,2021-09-01,196
blue,2021-10-01,119
green,2021-10-01,133
red,2021-10-01,119
silver,2021-10-01,184
blue,2021-11-01,119
green,2021-11-01,133
red,2021-11-01,119
silver,2021-11-01,184
blue,2021-12-01,119
green,2021-12-01,133
red,2021-12-01,119
silver,2021-12-01,184
blue,2022-01-01,134
green,2022-01-01,150
red,2022-01-01,127
silver,2022-01-01,202
blue,2022-02-01,126
green,2022-02-01,146
red,2022-02-01,120
silver,2022-02-01,196
blue,2022-03-01,120
green,2022-03-01,134
red,2022-03-01,119
silver,2022-03-01,196
blue,2022-04-01,119
green,2022-04-01,134
red,2022-04-01,119
silver,2022-04-01,196
blue,2022-05-01,119
green,2022-05-01,133
red,2022-05-01,119
silver,2022-05-01,196
blue,2022-06-01,119
green,2022-06-01,133
red,2022-06-01,119
silver,2022-06-01,196
blue,2022-07-01,119
green,2022-07-01,133
red,2022-07-01,119
silver,2022-07-01,196
blue,2022-08-01,119
green,2022-08-01,133
red,2022-08-01,119
silver,2022-08-01,196
blue,2022-09-01,119
green,2022-09-01,130
red,2022-09-01,119
silver,2022-09-01,188
blue,2022-10-01,119
green,2022-10-01,128
red,2022-10-01,119
silver,2022-10-01,188
blue,2022-11-01,119
green,2022-11-01,128
red,2022-11-01,119
silver,2022-11-01,184
blue,2022-12-01,127
green,2022-12-01,142
red,2022-12-01,124
silver,2022-12-01,192
blue,2023-01-01,140.0
green,2023-01-01,143.0
red,2023-01-01,151.0
silver,2023-01-01,206.0
blue,2023-02-01,119.0
green,2023-02-01,136.0
red,2023-02-01,119.0
silver,2023-02-01,184.0
blue,2023-03-01,119.0
green,2023-03-01,136.0
red,2023-03-01,119.0
silver,2023-03-01,184.0
blue,2023-04-01,119.0
green,2023-04-01,136.0
red,2023-04-01,119.0
silver,2023-04-01,184.0
blue,2023-05-01,
green,2023-05-01,
red,2023-05-01,
silver,2023-05-01,
blue,2023-06-01,
green,2023-06-01,
red,2023-06-01,
silver,2023-06-01,
blue,2023-07-01,
green,2023-07-01,
red,2023-07-01,
silver,2023-07-01,
blue,2023-08-01,
green,2023-08-01,
red,2023-08-01,
silver,2023-08-01,
blue,2023-09-01,
green,2023-09-01,
red,2023-09-01,
silver,2023-09-01,
blue,2023-10-01,
green,2023-10-01,
red,2023-10-01,
silver,2023-10-01,
blue,2023-11-01,
green,2023-11-01,
red,2023-11-01,
silver,2023-11-01,
blue,2023-12-01,
green,2023-12-01,
red,2023-12-01,
silver,2023-12-01,
