INFORMAÇÕES SOBRE A DEMANDA - JULHO/2019;;;;;
;;;;;
PASSAGEIROS TRANSPORTADOS POR LINHA¹;;;;;
;;;;;
DEMANDA (milhares);Linha 1-Azul ;Linha 2-Verde;Linha 3-Vermelha;Linha 15 - Prata ;Rede
Total;33.892;17.670;34.013;1.778;87.353
Média dos dias úteis ;1.299;701;1.294;72;3.366
Média dos Sábados ;799;337;830;25;1.991
Média dos Domingos ;462;218;481;20;1.182
Máxima Diária ;1.331;729;1.329;76;3.465
¹ Corresponde à soma das entradas pela linha de bloqueios com as transferências entre linhas nas estações Sé, Paraíso, Ana Rosa e Vila Prudente;;;;;
;;;;;
Fonte: Diretoria de Operações / Coordenadoria de Informações Gerenciais e Estudos Estratégicos - 13/08/2019;;;;;
