year_month,line_color,Total,Média dos Dias Úteis,Média dos Sábados,Média dos Domingos,Máxima Diária
Fevereiro 2022,Diamante,7.073,295,196,97,315
Março 2022,Diamante,8.311,317,200,98,329
Abril 2022,Diamante,7.874,327,198,101,339
Maio 2022,Diamante,"8.565,94","326,46","215,91","104,05","344,59"
Junho 2022,Diamante,"8.120,30","321,22","202,89","102,13","335,04"
Julho 2022,Diamante,"8.218,74","319,17","199,43","103,81","326,03"
Agosto 2022,Diamante,"8.895,35","333,71","204,60","100,39","347,69"
Setembro 2022,Diamante,"8.399,11","336,84","203,16","96,98","350,12"
Outubro 2022,Diamante,"8.651,98","345,24","210,78","111,11","360,94"
Novembro 2022,Diamante,"8.434,03","342,350","223,94","106,74","363,80"
Dezembro 2022,Diamante,"8.394,06","316,65","198,22","109,19","371,37"
