,year_month,line_color,total,MDU (Business Days Mean),MSD (Saturdays Mean),MDO (Sundays Mean),MAX (Daily Max)
0,2018-08-01,Vermelha,38679,1440,884,504,1483
1,2018-08-01,Azul,37775,1420,832,446,1466
2,2018-08-01,Prata,516,22,,2,23
3,2018-08-01,Verde,18164,701,318,194,723
116,2018-08-01,Lilás,7220.0,309.0,176.0,85.0,322.0
117,2018-08-01,Amarela,20844.0,797.0,397.0,229.0,827.0
4,2018-09-01,Azul,34371,1442,822,465,1521
5,2018-09-01,Verde,16246,705,321,202,733
6,2018-09-01,Vermelha,35197,1457,870,515,1544
7,2018-09-01,Prata,445,23,3,2,23
119,2018-09-01,Lilás,7632.0,323.0,182.0,93.0,345.0
118,2018-09-01,Amarela,18080.0,800.0,411.0,111.0,841.0
121,2018-10-01,Amarela,18907.0,761.0,362.0,118.0,828.0
120,2018-10-01,Lilás,10897.0,424.0,227.0,131.0,502.0
9,2018-10-01,Vermelha,38145,1460,854,505,1527
10,2018-10-01,Azul,38308,1477,836,482,1524
8,2018-10-01,Prata,498,22,,4,25
11,2018-10-01,Verde,18431,731,326,204,771
122,2018-11-01,Lilás,11833.0,505.0,268.0,156.0,552.0
123,2018-11-01,Amarela,16990.0,735.0,354.0,213.0,802.0
15,2018-11-01,Prata,398,23,6,4,25
14,2018-11-01,Azul,35499,1538,843,499,1611
13,2018-11-01,Verde,16888,769,326,216,804
12,2018-11-01,Vermelha,35008,1493,864,523,1571
124,2018-12-01,Lilás,12053.0,478.0,301.0,178.0,559.0
19,2018-12-01,Azul,34213,1425,890,543,1585
18,2018-12-01,Verde,16283,711,342,237,786
17,2018-12-01,Vermelha,34178,1399,933,573,1552
16,2018-12-01,Prata,710,32,14,9,37
125,2018-12-01,Amarela,16471.0,666.0,373.0,233.0,795.0
126,2019-01-01,Lilás,11482.0,456.0,251.0,150.0,502.0
127,2019-01-01,Amarela,16121.0,648.0,313.0,203.0,713.0
21,2019-01-01,Verde,15982,648,292,203,724
23,2019-01-01,Prata,903,37,17,11,46
22,2019-01-01,Vermelha,31644,1230,736,475,1332
20,2019-01-01,Azul,32037,1258,721,454,1362
129,2019-02-01,Lilás,12515.0,535.0,293.0,163.0,565.0
128,2019-02-01,Amarela,18136.0,765.0,437.0,273.0,808.0
27,2019-02-01,Prata,1086,48,21,9,54
26,2019-02-01,Vermelha,33962,1420,864,526,1492
25,2019-02-01,Azul,34705,1466,851,495,1544
24,2019-02-01,Verde,17728,768,360,230,808
131,2019-03-01,Lilás,13332.0,555.0,297.0,167.0,585.0
130,2019-03-01,Amarela,19278.0,789.0,438.0,268.0,835.0
28,2019-03-01,Prata,1374,61,25,14,72
31,2019-03-01,Verde,18610,807,363,230,838
30,2019-03-01,Vermelha,36165,1470,890,556,1507
29,2019-03-01,Azul,36580,1519,855,493,1550
133,2019-04-01,Lilás,14285.0,582.0,304.0,166.0,607.0
132,2019-04-01,Amarela,19644.0,808.0,387.0,227.0,843.0
32,2019-04-01,Prata,1532,64,27,14,66
35,2019-04-01,Azul,37571,1525,816,459,1558
34,2019-04-01,Verde,19637,818,347,216,832
33,2019-04-01,Vermelha,36898,1477,861,492,1511
36,2019-05-01,Verde,20076,797,358,219,849
38,2019-05-01,Vermelha,38229,1461,893,495,1507
134,2019-05-01,Amarela,20654.0,809.0,393.0,257.0,848.0
135,2019-05-01,Lilás,14857.0,584.0,309.0,143.0,606.0
39,2019-05-01,Azul,38705,1497,848,471,1548
37,2019-05-01,Prata,1808,73,31,18,77
137,2019-06-01,Amarela,18030.0,780.0,398.0,247.0,827.0
43,2019-06-01,Prata,1644,77,33,20,79
42,2019-06-01,Vermelha,32737,1411,856,458,1477
41,2019-06-01,Verde,17003,771,343,229,801
40,2019-06-01,Azul,32903,1435,813,458,1508
136,2019-06-01,Lilás,12703.0,543.0,300.0,164.0,583.0
138,2019-07-01,Amarela,18518.0,730.0,378.0,222.0,760.0
139,2019-07-01,Lilás,13410.0,523.0,295.0,163.0,546.0
47,2019-07-01,Azul,33892,1299,799,462,1331
46,2019-07-01,Verde,17670,701,337,218,729
45,2019-07-01,Vermelha,34013,1294,830,481,1329
44,2019-07-01,Prata,1778,72,25,20,76
140,2019-08-01,Lilás,15084.0,586.0,312.0,159.0,600.0
141,2019-08-01,Amarela,20689.0,810.0,394.0,223.0,838.0
51,2019-08-01,Vermelha,37379,1424,837,468,1458
48,2019-08-01,Verde,19825,785,345,209,809
49,2019-08-01,Prata,2029,82,30,20,88
50,2019-08-01,Azul,37779,1454,808,439,1497
143,2019-09-01,Lilás,14755.0,601.0,312.0,177.0,629.0
142,2019-09-01,Amarela,19888.0,818.0,385.0,234.0,855.0
52,2019-09-01,Azul,35968,1443,817,481,1491
53,2019-09-01,Prata,2171,90,38,25,93
54,2019-09-01,Verde,19555,808,357,234,829
55,2019-09-01,Vermelha,36261,1447,850,495,1504
