INFORMAÇÕES SOBRE A DEMANDA - JANEIRO/2019;;;;;
;;;;;
ENTRADA DE PASSAGEIROS POR LINHA¹;;;;;
;;;;;
DEMANDA (milhares);Linha 1-Azul ;Linha 2-Verde;Linha 3-Vermelha;Linha 15-Prata ;Rede
Total;23.584;12.656;26.236;504;62.980
Média dos dias úteis ;931;515;1.024;20;2.491
Média dos Sábados ;522;224;596;10;1.352
Média dos Domingos ;321;158;385;6;871
Máxima Diária ;1.004;580;1.111;25;2.709
¹ Corresponde às entradas pelas linhas de bloqueios;;;;;
;;;;;
Fonte: Diretoria de Operações / Coordenadoria de Informações Gerenciais e Estudos Estratégicos - 13/02/2019;;;;;
