PASSAGEIROS TRANSPORTADOS POR LINHA¹ - Novembro/2017;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
DEMANDA (milhares);Linha 1 - Azul ;Linha 2 - Verde;Linha 3 - Vermelha;Linha 5 - Lilás²;Linha 15 - Prata ;Rede;;;;;;;;;
Total;33.847;15.719;35.010;6.348;462;91.386;;;;;;;;;
Média dos dias úteis ;1.453;704;1.475;274;22;3.928;;;;;;;;;
Média dos Sábados ;794;298;860;155;8;2.116;;;;;;;;;
Média dos Domingos ;460;187;532;77;2;1.258;;;;;;;;;
Máxima Diária ;1.502;721;1.517;285;24;4.040;;;;;;;;;
¹ Corresponde à soma das entradas pela linha de bloqueios com as transferências entre linhas nas estações Sé, Paraíso, Ana Rosa e Vila Prudente;;;;;;;;;;;;;;;
² Início da Operação Comercial das estações Alto da Boa Vista, Borba Gato e Brooklin - dia 27/11/2017.;;;;;;;;;;;;;;;
Fonte: Diretoria de Operações / Coordenadoria de Informações Gerenciais e Estudos Estratégicos;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
