INFORMAÇÕES SOBRE A DEMANDA - MARÇO/2019;;;;;;;
;;;;;;;
DEMANDA DE PASSAGEIROS POR ESTAÇÃO* -  MÉDIA DOS DIAS ÚTEIS (em milhares);;;;;;;
;;;;;;;
Linha 1 - Azul  ;;Linha 2 - Verde  ;;Linha 3 - Vermelha  ;;Linha 15 - Prata;
Estação ;Entradas ;Estação ;Entradas;Estação ;Entradas;Estação ;Entradas
Jabaquara;91;Vila Prudente5;71;Corinthians-Itaquera;99;Vila Prudente6;32
Conceição ;43;Tamanduateí;73;Artur Alvim;69;Oratório;7
São Judas ;21;Sacomã;47;Patriarca ;26;São Lucas;4
Saúde ;39;Alto do Ipiranga ;23;Guilhermina-Esperança ;26;Camilo Haddad;3
Praça da Árvore ;24;Santos-Imigrantes ;17;Vila Matilde ;32;Vila Tolstói;4
Santa Cruz;119;Chácara Klabin ;70;Penha ;38;Vila União;11
Vila Mariana ;32;Ana Rosa²;86;Carrão ;63;- ;-
Ana Rosa¹;100;Paraíso²;80;Tatuapé;93;- ;-
Paraíso¹;130;Brigadeiro ;64;Belém ;49;- ;-
Vergueiro ;34;Trianon-Masp ;62;Bresser-Moóca ;48;- ;-
São Joaquim ;55;Consolação;141;Brás;98;- ;-
Liberdade ;30;Clínicas ;27;Pedro II ;24;- ;-
Sé³;254;Santuário N.S. de Fátima-Sumaré ;16;Sé4;288;- ;-
São Bento;72;Vila Madalena;30;Anhangabaú;73;- ;-
Luz;174;- ;-;República;156;- ;-
Tiradentes ;19;- ;-;Santa Cecília ;33;- ;-
Armênia ;30;- ;-;Marechal Deodoro ;39;- ;-
Portuguesa-Tietê ;61;- ;-;Palmeiras-Barra Funda;217;- ;-
Carandiru ;16;- ;-;- ;- ;- ;-
Santana ;68;- ;-;- ;- ;- ;-
Jardim São Paulo-Ayrton Senna;16;- ;-;- ;- ;- ;-
Parada Inglesa ;17;- ;-;- ;- ;- ;-
Tucuruvi ;73;- ;-;- ;- ;- ;-
TOTAL;1.519;TOTAL;807;TOTAL;1.470;TOTAL;61
*Corresponde à soma das entradas pelas linhas de bloqueios com as transferências entre linhas nas Estações Sé, Paraíso, Ana Rosa e Vila Prudente.;;;;;;;
¹ Corresponde à soma dos usuários que embarcaram na Linha 1-Azul com as transferências da Linha 2-Verde;;;;;;;
² Corresponde à soma dos usuários que embarcaram na Linha 2-Verde com as transferências da Linha 1-Azul;;;;;;;
3 Corresponde à soma dos usuários que embarcaram na Linha 1-Azul com as transferências da Linha 3-Vermelha;;;;;;;
4 Corresponde à soma dos usuários que embarcaram na Linha 3-Vermelha com as transferências da Linha 1-Azul;;;;;;;
5 Corresponde à soma dos usuários que embarcaram na Linha 2-Verde com as transferências da Linha 15-Prata;;;;;;;
6 Corresponde à soma dos usuários que embarcaram na Linha 15-Prata com as transferências da Linha 2-Verde;;;;;;;
            Dez estações de maior movimento (Considerou-se a somatória dos valores das estações Paraíso e Ana Rosa);;;;;;;
;;;;;;;
Fonte: Diretoria de Operações / Coordenadoria de Informações Gerenciais e Estudos Estratégicos - 09/04/2019;;;;;;;
