Month,Total,Média dos Dias Úteis,Média dos Sábados,Média dos Domingos,Máxima Diária
Janeiro 2023,"10.976,23","427,20","271,01","139,44","468,66"
Fevereiro 2023,"11.015,86","473,46","289,52","161,31","516,80"
Março 2023,"13.455,77","503,11","305,23","165,84","535,97"
Abril 2023,"11.792,22","510,81","282,42","160,71","527,25"
