Month,Total,Média dos Dias Úteis,Média dos Sábados,Média dos Domingos,Máxima Diária
Janeiro 2021,8.033,336,183,104,360
Fevereiro 2021,8.374,356,214,112,370
Março 2021,7.430,299,153,77,377
Abril 2021,6.913,289,160,84,327
Maio 2021,8.408,328,200,105,349
Junho 2021,8.844,341,222,114,359
Julho 2021,9.147,351,221,118,374
Agosto 2021,10.004,384,235,124,400
Setembro 2021,10.097,399,251,137,412
Outubro 2021,"10.470,44","416,75","263,12","130,84","440,64"
Novembro 2021,"10.990,58","442,99","285,38","160,61","459,23"
Dezembro 2021,"11.037,81","405,61","261,28","165,94","479,79"
