METRÔ DE SÃO PAULO;;;;;;;;;;;;;;;;;;;;;;; 
INFORMAÇÕES SOBRE A DEMANDA - 2022;;;;;;;;;;;;;;;;;;;;;;;
Passageiros Transportados por Linha¹ (em milhares);;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
LINHA 1-AZUL;;;;;;;LINHA 2-VERDE;;;;;;;;;;;;;;;;
Mês;Total;MDU;MSA;MDO;MAX;;Mês;Total;MDU;MSA;MDO;MAX;;;;;;;;;;;
Jan*;18.756;733;499;275;791;;Jan*;10.118;408;231;135;444;;;;;;;;;;;
Fev*;20.465;860;587;303;903;;Fev*;11.356;491;271;168;519;;;;;;;;;;;
Mar*;25.155;963;622;304;998;;Mar*;14.201;560;290;169;588;;;;;;;;;;;
Abr*;24.189;1.008;612;348;1.044;;Abr*;13.555;588;288;179;608;;;;;;;;;;;
Mai*;26.548;1.003;670;358;1.036;;Mai*;15.148;590;311;181;615;;;;;;;;;;;
Jun*;24.725;967;623;364;1.011;;Jun*;14.080;570;291;199;591;;;;;;;;;;;
Jul*;24.863;938;646;380;1.005;;Jul*;13.941;548;294;191;570;;;;;;;;;;;
Ago*;27.296;1.015;645;344;1.057;;Ago*;15.832;605;303;178;638;;;;;;;;;;;
Set*;26.169;1.035;664;346;1.078;;Set*;15.239;619;315;179;641;;;;;;;;;;;
Out*;26.982;1.059;673;374;1.116;;Out*;15.388;625;317;200;655;;;;;;;;;;;
Nov*;25.817;1.062;688;381;1.107;;Nov*;14.574;629;318;194;657;;;;;;;;;;;
Dez*;25.019;934;734;417;1.142;;Dez*;13.602;530;327;200;657;;;;;;;;;;;
2022;295.983;964;639;350;1.142;;2022;167.033;563;296;181;657;;;;;;;;;;;
¹ Corresponde à soma das entradas pela linha de bloqueios com as transferências entre linhas nas estações Sé, Paraíso, Ana Rosa e Vila Prudente;;;;;;;;;;;;;;;;;;;;;;;
* Demanda reduzida devido à pandemia do novo Coronavírus anunciada pela Organização Mundial da Saúde em 11/03/2020;;;;;;;;;;;;;;;;;;;;;;;
"MDU - Média dos Dias Úteis; MSA - Média dos Sábados; MDO - Média dos Domingos; MAX - Máxima Diária";;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
LINHA 3-VERMELHA;;;;;;;LINHA 15-PRATA;;;;;;;;;;;;;;;;
Mês;Total;MDU;MSA;MDO;MAX;;Mês;Total;MDU;MSA;MDO;MAX;;;;;;;;;;;
Jan*;19.399;758;508;289;824;;Jan*;1.962;79;47;25;86;;;;;;;;;;;
Fev*;21.084;883;592;346;921;;Fev*;2.198;94;56;31;102;;;;;;;;;;;
Mar*;26.073;996;634;345;1.048;;Mar*;2.678;104;59;32;109;;;;;;;;;;;
Abr*;24.646;1.023;618;375;1.048;;Abr*;2.544;109;58;34;114;;;;;;;;;;;
Mai*;26.929;1.010;673;393;1.045;;Mai*;2.814;109;63;35;111;;;;;;;;;;;
Jun*;25.162;980;635;392;1.022;;Jun*;2.669;108;59;34;115;;;;;;;;;;;
Jul*;24.987;948;638;379;998;;Jul*;2.576;104;46;29;108;;;;;;;;;;;
Ago*;27.388;1.015;640;372;1.060;;Ago*;2.824;110;60;28;117;;;;;;;;;;;
Set*;26.224;1.035;664;358;1.077;;Set*;2.799;114;58;34;118;;;;;;;;;;;
Out*;26.821;1.051;665;379;1.097;;Out*;2.795;114;54;35;118;;;;;;;;;;;
Nov*;25.901;1.063;695;396;1.110;;Nov*;2.742;117;57;37;124;;;;;;;;;;;
Dez*;25.432;945;784;431;1.145;;Dez*;2.519;99;48;32;121;;;;;;;;;;;
2022;300.044;976;646;371;1.145;;2022;31.120;105;55;32;124;;;;;;;;;;;
¹ Corresponde à soma das entradas pela linha de bloqueios com as transferências entre linhas nas estações Sé, Paraíso, Ana Rosa e Vila Prudente;;;;;;;;;;;;;;;;;;;;;;;
* Demanda reduzida devido à pandemia do novo Coronavírus anunciada pela Organização Mundial da Saúde em 11/03/2020;;;;;;;;;;;;;;;;;;;;;;;
"MDU - Média dos Dias Úteis; MSA - Média dos Sábados; MDO - Média dos Domingos; MAX - Máxima Diária";;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
REDE;;;;;;;;;;;;;;;;;;;;;;;
Mês;Total;MDU;MSA;MDO;MAX;;;;;;;;;;;;;;;;;;
Jan*;50.235;1.977;1.285;725;2.137;;;;;;;;;;;;;;;;;;
Fev*;55.103;2.327;1.507;848;2.436;;;;;;;;;;;;;;;;;;
Mar*;68.108;2.622;1.605;850;2.724;;;;;;;;;;;;;;;;;;
Abr*;64.933;2.728;1.577;936;2.810;;;;;;;;;;;;;;;;;;
Mai*;71.438;2.711;1.717;967;2.806;;;;;;;;;;;;;;;;;;
Jun*;66.636;2.625;1.607;990;2.731;;;;;;;;;;;;;;;;;;
Jul*;66.366;2.538;1.624;980;2.663;;;;;;;;;;;;;;;;;;
Ago*;73.340;2.744;1.633;923;2.864;;;;;;;;;;;;;;;;;;
Set*;70.431;2.802;1.701;917;2.903;;;;;;;;;;;;;;;;;;
Out*;71.986;2.848;1.708;988;2.983;;;;;;;;;;;;;;;;;;
Nov*;69.034;2.871;1.758;1.007;2.987;;;;;;;;;;;;;;;;;;
Dez*;66.572;2.508;1.893;1.080;3.064;;;;;;;;;;;;;;;;;;
2022;794.180;2.609;1.635;934;3.064;;;;;;;;;;;;;;;;;;
¹ Corresponde à soma das entradas pela linha de bloqueios com as transferências entre linhas nas estações Sé, Paraíso, Ana Rosa e Vila Prudente;;;;;;;;;;;;;;;;;;;;;;;
* Demanda reduzida devido à pandemia do novo Coronavírus anunciada pela Organização Mundial da Saúde em 11/03/2020;;;;;;;;;;;;;;;;;;;;;;;
"MDU - Média dos Dias Úteis; MSA - Média dos Sábados; MDO - Média dos Domingos; MAX - Máxima Diária";;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
Fonte: Diretoria de Operações/Depto Apoio à Gestão/Coord. Estudos Estatísticos e Informações Estratégicas - 18/01/2023;;;;;;;;;;;;;;;;;;;;;;;
