year_month,line_color,Total,Média dos Dias Úteis,Média dos Sábados,Média dos Domingos,Máxima Diária
Janeiro 2023,Esmeralda,"9.483,89","376,56","208,30","110,51","411,92"
Fevereiro 2023,Esmeralda,"9.297,16","403,77","233,26","127,63","442,43"
Março 2023,Esmeralda,"11.825,89","443,96","259,00","144,71","504,80"
Abril 2023,Esmeralda,"10.113,09","444,11","220,28","129,33","462,62"
