date;week;accumulated_cases;new_cases;accumulated_deaths;new_deaths
2020-03-27;13;0;0;0;0
2020-03-28;13;1149;1149;76;76
2020-03-29;14;1183;34;89;13
2020-03-30;14;1233;50;103;14
2020-03-31;14;1885;652;121;18
2020-04-01;14;2418;533;144;23
2020-04-02;14;2815;397;164;20
2020-04-03;14;3202;387;186;22
2020-04-04;14;3496;294;212;26
2020-04-05;15;3612;116;220;8
2020-04-06;15;3754;142;244;24
2020-04-07;15;4258;504;296;52
2020-04-08;15;4946;688;339;43
2020-04-09;15;5477;531;384;45
2020-04-10;15;5982;505;409;25
2020-04-11;15;6131;149;422;13
2020-04-12;16;6352;221;445;23
2020-04-13;16;6418;66;456;11
2020-04-14;16;6705;287;512;56
2020-04-15;16;7764;1059;558;46
2020-04-16;16;7908;144;603;45
2020-04-17;16;8744;836;643;40
2020-04-18;16;9428;684;686;43
2020-04-19;17;9668;240;700;14
2020-04-20;17;9815;147;715;15
2020-04-21;17;10342;527;753;38
2020-04-22;17;10691;349;778;25
2020-04-23;17;11225;534;912;134
2020-04-24;17;11800;575;1010;98
2020-04-25;17;13098;1298;1099;89
2020-04-26;18;13513;415;1114;15
2020-04-27;18;13989;476;1172;58
2020-04-28;18;15397;1408;1321;149
2020-04-29;18;16638;1241;1439;118
2020-04-30;18;18149;1511;1522;83
2020-05-01;18;19087;938;1607;85
2020-05-02;18;19494;407;1661;54
2020-05-03;19;19822;328;1673;12
2020-05-04;19;20073;251;1683;10
2020-05-05;19;21140;1067;1801;118
2020-05-06;19;23187;2047;1910;109
2020-05-07;19;24273;1086;1986;76
2020-05-08;19;25366;1093;2110;124
2020-05-09;19;26787;1421;2223;113
2020-05-10;20;27307;520;2266;43
2020-05-11;20;27771;464;2283;17
2020-05-12;20;28682;911;2407;124
2020-05-13;20;30402;1720;2496;89
2020-05-14;20;31873;1471;2596;100
2020-05-15;20;33992;2119;2674;78
2020-05-16;20;35429;1437;2792;118
2020-05-17;21;35931;502;2835;43
2020-05-18;21;36188;257;2856;21
2020-05-19;21;37640;1452;3029;173
2020-05-20;21;39466;1826;3135;106
2020-05-21;21;41451;1985;3238;103
2020-05-22;21;42973;1522;3352;114
2020-05-23;21;44887;1914;3491;139
2020-05-24;22;45527;640;3534;43
2020-05-25;22;46204;677;3555;21
2020-05-26;22;47554;1350;3691;136
