,Date,Line Name,Total,MDU,MSA,MDO,MAX
0,2018-08-01,Lilás,7220.0,309.0,176.0,85.0,322.0
1,2018-08-01,Amarela,20844.0,797.0,397.0,229.0,827.0
2,2018-09-01,Amarela,18080.0,800.0,411.0,111.0,841.0
3,2018-09-01,Lilás,7632.0,323.0,182.0,93.0,345.0
4,2018-10-01,Lilás,10897.0,424.0,227.0,131.0,502.0
5,2018-10-01,Amarela,18907.0,761.0,362.0,118.0,828.0
6,2018-11-01,Lilás,11833.0,505.0,268.0,156.0,552.0
7,2018-11-01,Amarela,16990.0,735.0,354.0,213.0,802.0
8,2018-12-01,Lilás,12053.0,478.0,301.0,178.0,559.0
9,2018-12-01,Amarela,16471.0,666.0,373.0,233.0,795.0
11,2019-01-01,Amarela,16121.0,648.0,313.0,203.0,713.0
10,2019-01-01,Lilás,11482.0,456.0,251.0,150.0,502.0
12,2019-02-01,Amarela,18136.0,765.0,437.0,273.0,808.0
13,2019-02-01,Lilás,12515.0,535.0,293.0,163.0,565.0
14,2019-03-01,Amarela,19278.0,789.0,438.0,268.0,835.0
15,2019-03-01,Lilás,13332.0,555.0,297.0,167.0,585.0
16,2019-04-01,Amarela,19644.0,808.0,387.0,227.0,843.0
17,2019-04-01,Lilás,14285.0,582.0,304.0,166.0,607.0
18,2019-05-01,Amarela,20654.0,809.0,393.0,257.0,848.0
19,2019-05-01,Lilás,14857.0,584.0,309.0,143.0,606.0
21,2019-06-01,Amarela,18030.0,780.0,398.0,247.0,827.0
20,2019-06-01,Lilás,12703.0,543.0,300.0,164.0,583.0
22,2019-07-01,Amarela,18518.0,730.0,378.0,222.0,760.0
23,2019-07-01,Lilás,13410.0,523.0,295.0,163.0,546.0
24,2019-08-01,Lilás,15084.0,586.0,312.0,159.0,600.0
25,2019-08-01,Amarela,20689.0,810.0,394.0,223.0,838.0
26,2019-09-01,Amarela,19888.0,818.0,385.0,234.0,855.0
