resource_name,resource_link,file_type,mod_date
Oferta - 2022,https://transparencia.metrosp.com.br/sites/default/files/Oferta%20-%202022_6.csv,csv,2023-05-09
Oferta - 2021,https://transparencia.metrosp.com.br/sites/default/files/Oferta%20-%202021.pdf,pdf,2023-05-09
Oferta - 2021,https://transparencia.metrosp.com.br/sites/default/files/Oferta%20-%202021.csv,csv,2023-05-09
Oferta - 2021,https://transparencia.metrosp.com.br/sites/default/files/Oferta%20-%202021.csv,csv,2023-05-09
INAUGURAÇÃO DAS ESTAÇÕES,https://transparencia.metrosp.com.br/sites/default/files/DATA%20DE%20INAUGURA%C3%87%C3%83O%20DAS%20ESTA%C3%87%C3%95ES_0.pdf,pdf,2023-05-09
Infraestrutura - 2023,https://transparencia.metrosp.com.br/sites/default/files/Infraestrutura%20-%202023_1.pdf,pdf,2023-05-09
Infraestrutura - 2023,https://transparencia.metrosp.com.br/sites/default/files/Infraestrutura%20-%202023_1.csv,csv,2023-05-09
Infraestrutura - 2022,https://transparencia.metrosp.com.br/sites/default/files/Infraestrutura%20-%202022_6.pdf,pdf,2023-05-09
Infraestrutura - 2022,https://transparencia.metrosp.com.br/sites/default/files/Infraestrutura%20-%202022_6.csv,csv,2023-05-09
Infraestrutura - 2021,https://transparencia.metrosp.com.br/sites/default/files/Infraestrutura%20-%202021.pdf,pdf,2023-05-09
Infraestrutura - 2021,https://transparencia.metrosp.com.br/sites/default/files/Infraestrutura%20-%202021.csv,csv,2023-05-09
Infraestrutura - Dezembro/2020,https://transparencia.metrosp.com.br/sites/default/files/Infraestrutura%20-%20Dezembro%202020.pdf,pdf,2023-05-09
Infraestrutura - Dezembro/2020,https://transparencia.metrosp.com.br/sites/default/files/Infraestrutura%20-%20Dezembro%202020.csv,csv,2023-05-09
Infraestrutura - Novembro/2020,https://transparencia.metrosp.com.br/sites/default/files/Infraestrutura%20-%20Novembro%202020.pdf,pdf,2023-05-09
Infraestrutura - Novembro/2020,https://transparencia.metrosp.com.br/sites/default/files/Infraestrutura%20-%20Novembro%202020.csv,csv,2023-05-09
Infraestrutura - Outubro/ 2020,https://transparencia.metrosp.com.br/sites/default/files/Infraestrutura%20-%20Outubro%202020.csv,csv,2023-05-09
Infraestrutura - Outubro/ 2020,https://transparencia.metrosp.com.br/sites/default/files/Infraestrutura%20-%20Outubro%202020.pdf,pdf,2023-05-09
Infraestrutura - Setembro/2020,https://transparencia.metrosp.com.br/sites/default/files/Infraestrutura%20-%20Setembro%202020.pdf,pdf,2023-05-09
Infraestrutura - Setembro/2020,https://transparencia.metrosp.com.br/sites/default/files/Infraestrutura%20-%20Setembro%202020.csv,csv,2023-05-09
Infraestrutura - Agosto/2020,https://transparencia.metrosp.com.br/sites/default/files/Infraestrutura%20-%20Agosto%202020.pdf,pdf,2023-05-09
Infraestrutura - Agosto/2020,https://transparencia.metrosp.com.br/sites/default/files/Infraestrutura%20-%20Agosto%202020.csv,csv,2023-05-09
Infraestrutura - Julho/2020,https://transparencia.metrosp.com.br/sites/default/files/Infraestrutura%20-%20Julho%202020.pdf,pdf,2023-05-09
Infraestrutura - Julho/ 2020,https://transparencia.metrosp.com.br/sites/default/files/Infraestrutura%20-%20Julho%202020.csv,csv,2023-05-09
Infraestrutura - Junho/2020,https://transparencia.metrosp.com.br/sites/default/files/Infraestrutura%20-%20Junho%202020.pdf,pdf,2023-05-09
Infraestrutura - Junho/2020,https://transparencia.metrosp.com.br/sites/default/files/Infraestrutura%20-%20%20Junho%202020.csv,csv,2023-05-09
Infraestrutura - Maio/2020,https://transparencia.metrosp.com.br/sites/default/files/Infraestrutura%20-%20Maio%202020.pdf,pdf,2023-05-09
Infraestrutura - Maio/2020,https://transparencia.metrosp.com.br/sites/default/files/Infraestrutura%20-%20Maio%202020.csv,csv,2023-05-09
Infraestrutura - Abril/2020,https://transparencia.metrosp.com.br/sites/default/files/Infraestrutura%20-%20Abril%202020.pdf,pdf,2023-05-09
Infraestrutura - Abril/2020,/dataset/infraestrutura-dados-de-linhas-e-esta%C3%A7%C3%B5es/resource/de6c0c96-e47b-480f-896b-d0ae68d8c259,259,2023-05-09
Infraestrutura - Março/2020,https://transparencia.metrosp.com.br/sites/default/files/Infraestrutura%20-%20Mar%C3%A7o%202020%20.pdf,pdf,2023-05-09
Infraestrutura - Março/2020,/dataset/infraestrutura-dados-de-linhas-e-esta%C3%A7%C3%B5es/resource/07257643-ef07-4b32-8f3b-c33a954dc362,362,2023-05-09
Infraestrutura - Fevereiro/2020,https://transparencia.metrosp.com.br/sites/default/files/Infraestrutura%20-%20Fevereiro%202020.pdf,pdf,2023-05-09
Infraestrutura - Fevereiro/2020,/dataset/infraestrutura-dados-de-linhas-e-esta%C3%A7%C3%B5es/resource/2063a01c-8c74-49ca-85ef-a5d1c6eb8b43,b43,2023-05-09
Infraestrutura - Janeiro/2020,https://transparencia.metrosp.com.br/sites/default/files/Infraestrutura%20-%20Janeiro%202020.pdf,pdf,2023-05-09
Infraestrutura - Janeiro/2020,/dataset/infraestrutura-dados-de-linhas-e-esta%C3%A7%C3%B5es/resource/475ec6f2-189b-4f42-8daf-c4db7806f5c1,5c1,2023-05-09
Infraestrutura - Dezembro/2019,https://transparencia.metrosp.com.br/sites/default/files/Infraestrutura%20-%20Dezembro%202019.pdf,pdf,2023-05-09
Infraestrutura - Dezembro/2019,/dataset/infraestrutura-dados-de-linhas-e-esta%C3%A7%C3%B5es/resource/1019d2be-ebe7-482b-bcec-8ba3a9ce0c4b,c4b,2023-05-09
Infraestrutura - Novembro/2019,https://transparencia.metrosp.com.br/sites/default/files/Infraestrutura%20-%20Novembro%202019.pdf,pdf,2023-05-09
Infraestrutura - Novembro 2019,/dataset/infraestrutura-dados-de-linhas-e-esta%C3%A7%C3%B5es/resource/2a83b2a2-abd5-4417-b8a9-af651e1fff9d,f9d,2023-05-09
Infraestrutura - Outubro/2019,https://transparencia.metrosp.com.br/sites/default/files/Infraestrutura%20-%20Outubro%202019.pdf,pdf,2023-05-09
Infraestrutura - Outubro/2019,/dataset/infraestrutura-dados-de-linhas-e-esta%C3%A7%C3%B5es/resource/95eed8fc-c5b4-4252-b64f-1efea887845b,45b,2023-05-09
Infraestrutura - Setembro/2019,https://transparencia.metrosp.com.br/sites/default/files/Infraestrutura%20-%20Setembro-2019.pdf,pdf,2023-05-09
Infraestrutura - Setembro/2019,/dataset/infraestrutura-dados-de-linhas-e-esta%C3%A7%C3%B5es/resource/d603b070-39be-4c3b-bb98-065334a53cdb,cdb,2023-05-09
Infraestrutura - Agosto/2019,https://transparencia.metrosp.com.br/sites/default/files/Infraestrutura%20-%20Agosto%202019.pdf,pdf,2023-05-09
Infraestrutura - Agosto/2019,/dataset/infraestrutura-dados-de-linhas-e-esta%C3%A7%C3%B5es/resource/8d817b54-2b82-484a-9b4e-0d4d47347bad,bad,2023-05-09
Infraestrutura - Julho/2019,https://transparencia.metrosp.com.br/sites/default/files/Infraestrutura%20-%20Julho%202019_0.pdf,pdf,2023-05-09
Infraestrutura - Julho/2019,/dataset/infraestrutura-dados-de-linhas-e-esta%C3%A7%C3%B5es/resource/d06f25cc-8262-4cac-b5bc-e6cd151792c4,2c4,2023-05-09
Infraestrutura - Junho/2019,https://transparencia.metrosp.com.br/sites/default/files/Infraestrutura%20-%20Situa%C3%A7%C3%A3o%20em%20Junho%20-%202019_0.pdf,pdf,2023-05-09
Infraestrutura - Junho/2019,/dataset/infraestrutura-dados-de-linhas-e-esta%C3%A7%C3%B5es/resource/151bfd06-1181-4acf-9729-a3870902526b,26b,2023-05-09
Infraestrutura - Maio/2019,https://transparencia.metrosp.com.br/sites/default/files/Infraestrutura%20-%20Maio%202019.pdf,pdf,2023-05-09
Infraestrutura - Maio/2019,/dataset/infraestrutura-dados-de-linhas-e-esta%C3%A7%C3%B5es/resource/0411147c-dbdd-40a1-8b2d-45ccd925e7b5,7b5,2023-05-09
Infraestrutura - Abril/2019,/dataset/infraestrutura-dados-de-linhas-e-esta%C3%A7%C3%B5es/resource/eba52ae9-50df-41d6-b7ed-0ce93c884624,624,2023-05-09
Infraestrutura - Abril/2019,https://transparencia.metrosp.com.br/sites/default/files/Infraestrutura%20-%20Situa%C3%A7%C3%A3o%20em%20Abril%20-%202019.pdf,pdf,2023-05-09
Infraestrutura - Março/2019,https://transparencia.metrosp.com.br/sites/default/files/Infraestrutura%20-%20Situa%C3%A7%C3%A3o%20em%20Mar%C3%A7o%20-%202019.pdf,pdf,2023-05-09
Infraestrutura - Março/2019,/dataset/infraestrutura-dados-de-linhas-e-esta%C3%A7%C3%B5es/resource/e490d809-a177-4a74-8a27-b6e3812b143c,43c,2023-05-09
Infraestrutura - Fevereiro/2019,https://transparencia.metrosp.com.br/sites/default/files/Infraestrutura%20-%20Situa%C3%A7%C3%A3o%20em%20Fevereiro%20-%202019.pdf,pdf,2023-05-09
Infraestrutura - Fevereiro/2019,/dataset/infraestrutura-dados-de-linhas-e-esta%C3%A7%C3%B5es/resource/f0682c93-4430-493b-b36e-bdc03e3756f8,6f8,2023-05-09
Infraestrutura - Janeiro/2019,https://transparencia.metrosp.com.br/sites/default/files/Infraestrutura%20-%20Situa%C3%A7%C3%A3o%20em%20Janeiro%20-%202019.pdf,pdf,2023-05-09
Infraestrutura - Janeiro/2019,/dataset/infraestrutura-dados-de-linhas-e-esta%C3%A7%C3%B5es/resource/fa89e4e6-6641-44af-a4f1-3bfd18cc0af2,af2,2023-05-09
Infraestrutura - 2018,https://transparencia.metrosp.com.br/sites/default/files/2018_5.zip,zip,2023-05-09
Infraestrutura - 2017,https://transparencia.metrosp.com.br/sites/default/files/2017_0.zip,zip,2023-05-09
Mapa da Rede do Transporte Metropolitano,http://www.metro.sp.gov.br/pdf/mapa-da-rede-metro.pdf,pdf,2023-05-09
Mapa da Rede do Transporte Metropolitano,http://www.metro.sp.gov.br/pdf/mapa-da-rede-metro.pdf,pdf,2023-05-09
