year_month,line_color,Total,Média dos Dias Úteis,Média dos Sábados,Média dos Domingos,Máxima Diária
Janeiro 2022,Lilás,"9.286,51","364,58","202,18","123,90","397,23"
Fevereiro 2022,Lilás,10.180,426,270,145,450
Março 2022,Lilás,12.297,469,288,151,500
Abril 2022,Lilás,11.533,482,276,155,500
Maio 2022,Lilás,"12.740,79","488,30","299,87","159,75","507,22"
Junho 2022,Lilás,"12.099,73","479,00","283,96","155,88","541,79"
Julho 2022,Lilás,"12.042,05","466,20","285,91","164,46","484,27"
Agosto 2022,Lilás,"13.310,68","500,75","292,18","156,23","519,06"
Setembro 2022,Lilás,"12.606,29","505,50","298,03","153,91","517,40"
Outubro 2022,Lilás,"12.854,25","512,52","301,32","176,27","533,04"
Novembro 2022,Lilás,"12.404,96","503,71","314,49","169,51","538,67"
Dezembro 2022,Lilás,"11.837,35","448,87","264,37","160,11","550,56"
