INFORMAÇÕES SOBRE A DEMANDA - FEVEREIRO/2020;;;;;;;
;;;;;;;
DEMANDA DE PASSAGEIROS POR ESTAÇÃO* -  MÉDIA DOS DIAS ÚTEIS (em milhares);;;;;;;
;;;;;;;
Linha 1 - Azul  ;;Linha 2 - Verde  ;;Linha 3 - Vermelha  ;;Linha 15 - Prata;
Estação ;Entradas ;Estação ;Entradas;Estação ;Entradas;Estação ;Entradas
Jabaquara;87;Vila Prudente5;81;Corinthians-Itaquera;89;Vila Prudente6;57
Conceição ;40;Tamanduateí;83;Artur Alvim;65;Oratório;7
São Judas ;21;Sacomã;47;Patriarca ;25;São Lucas;5
Saúde ;36;Alto do Ipiranga ;22;Guilhermina-Esperança ;25;Camilo Haddad;4
Praça da Árvore ;22;Santos-Imigrantes ;17;Vila Matilde ;31;Vila Tolstói;5
Santa Cruz;119;Chácara Klabin ;85;Penha ;34;Vila União;6
Vila Mariana ;26;Ana Rosa²;79;Carrão ;57;Jardim Planalto;4
Ana Rosa¹;96;Paraíso²;82;Tatuapé;86;Sapopemba;7
Paraíso¹;120;Brigadeiro ;65;Belém ;45;Fazenda da Juta;4
Vergueiro ;33;Trianon-Masp ;61;Bresser-Moóca ;40;São Mateus;16
São Joaquim ;39;Consolação;134;Brás;99;- ;- 
Liberdade ;27;Clínicas ;26;Pedro II ;23;- ;- 
Sé³;228;Santuário N.S. de Fátima-Sumaré ;15;Sé4;268;- ;- 
São Bento;72;Vila Madalena;29;Anhangabaú;67;- ;- 
Luz;152;- ;-;República;163;- ;- 
Tiradentes ;18;- ;-;Santa Cecília ;32;- ;- 
Armênia ;28;- ;-;Marechal Deodoro ;36;- ;- 
Portuguesa-Tietê ;60;- ;-;Palmeiras-Barra Funda;196;- ;- 
Carandiru ;16;- ;- ;- ;- ;- ;- 
Santana ;65;- ;- ;- ;- ;- ;- 
Jardim São Paulo-Ayrton Senna;16;- ;- ;- ;- ;- ;- 
Parada Inglesa ;17;- ;- ;- ;- ;- ;- 
Tucuruvi ;72;- ;- ;- ;- ;- ;- 
TOTAL;1410;TOTAL;826;TOTAL;1382;TOTAL;116
*Corresponde à soma das entradas pelas linhas de bloqueios com as transferências entre linhas nas Estações Sé, Paraíso, Ana Rosa e Vila Prudente.;;;;;;;
¹ Corresponde à soma dos usuários que embarcaram na Linha 1-Azul com as transferências da Linha 2-Verde;;;;;;;
² Corresponde à soma dos usuários que embarcaram na Linha 2-Verde com as transferências da Linha 1-Azul;;;;;;;
3 Corresponde à soma dos usuários que embarcaram na Linha 1-Azul com as transferências da Linha 3-Vermelha;;;;;;;
4 Corresponde à soma dos usuários que embarcaram na Linha 3-Vermelha com as transferências da Linha 1-Azul;;;;;;;
5 Corresponde à soma dos usuários que embarcaram na Linha 2-Verde com as transferências da Linha 15-Prata;;;;;;;
6 Corresponde à soma dos usuários que embarcaram na Linha 15-Prata com as transferências da Linha 2-Verde;;;;;;;
            Dez estações de maior movimento (Considerou-se a somatória dos valores das estações Paraíso e Ana Rosa);;;;;;;
Fonte: Diretoria de Operações / Coordenadoria de Informações Gerenciais e Estudos Estratégicos - 10/03/2020;;;;;;;
