INFORMAÇÕES SOBRE A DEMANDA - MARÇO/2020;;;;;;;
;;;;;;;
DEMANDA DE PASSAGEIROS POR ESTAÇÃO* -  MÉDIA DOS DIAS ÚTEIS (em milhares) **;;;;;;;
;;;;;;;
Linha 1 - Azul  ;;Linha 2 - Verde  ;;Linha 3 - Vermelha  ;;Linha 15 - Prata***;
Estação ;Entradas ;Estação ;Entradas;Estação ;Entradas;Estação ;Entradas
Jabaquara;59;Vila Prudente5;41;Corinthians-Itaquera;64;Vila Prudente6;- 
Conceição ;25;Tamanduateí;53;Artur Alvim;45;Oratório;- 
São Judas ;13;Sacomã;31;Patriarca ;17;São Lucas;- 
Saúde ;24;Alto do Ipiranga ;14;Guilhermina-Esperança ;17;Camilo Haddad;- 
Praça da Árvore ;14;Santos-Imigrantes ;11;Vila Matilde ;20;Vila Tolstói;- 
Santa Cruz;77;Chácara Klabin ;55;Penha ;24;Vila União;- 
Vila Mariana ;17;Ana Rosa²;52;Carrão ;40;Jardim Planalto;- 
Ana Rosa¹;60;Paraíso²;53;Tatuapé;59;Sapopemba;- 
Paraíso¹;75;Brigadeiro ;40;Belém ;32;Fazenda da Juta;- 
Vergueiro ;23;Trianon-Masp ;38;Bresser-Moóca ;29;São Mateus;- 
São Joaquim ;31;Consolação;83;Brás;71;- ;- 
Liberdade ;18;Clínicas ;18;Pedro II ;16;- ;- 
Sé³;156;Santuário N.S. de Fátima-Sumaré ;9;Sé4;173;- ;- 
São Bento;42;Vila Madalena;17;Anhangabaú;45;- ;- 
Luz;94;- ;-;República;106;- ;- 
Tiradentes ;12;- ;-;Santa Cecília ;22;- ;- 
Armênia ;19;- ;-;Marechal Deodoro ;24;- ;- 
Portuguesa-Tietê ;38;- ;-;Palmeiras-Barra Funda;136;- ;- 
Carandiru ;10;- ;-;- ;-;- ;- 
Santana ;43;- ;-;- ;-;- ;- 
Jardim São Paulo-Ayrton Senna;10;- ;-;- ;-;- ;- 
Parada Inglesa ;10;- ;-;- ;-;- ;- 
Tucuruvi ;47;- ;-;- ;-;- ;- 
TOTAL;918;TOTAL;515;TOTAL;939;TOTAL;-
*Corresponde à soma das entradas pelas linhas de bloqueios com as transferências entre linhas nas Estações Sé, Paraíso, Ana Rosa e Vila Prudente.;;;;;;;
¹ Corresponde à soma dos usuários que embarcaram na Linha 1-Azul com as transferências da Linha 2-Verde;;;;;;;
² Corresponde à soma dos usuários que embarcaram na Linha 2-Verde com as transferências da Linha 1-Azul;;;;;;;
3 Corresponde à soma dos usuários que embarcaram na Linha 1-Azul com as transferências da Linha 3-Vermelha;;;;;;;
4 Corresponde à soma dos usuários que embarcaram na Linha 3-Vermelha com as transferências da Linha 1-Azul;;;;;;;
5 Corresponde à soma dos usuários que embarcaram na Linha 2-Verde com as transferências da Linha 15-Prata;;;;;;;
6 Corresponde à soma dos usuários que embarcaram na Linha 15-Prata com as transferências da Linha 2-Verde;;;;;;;
            Dez estações de maior movimento (Considerou-se a somatória dos valores das estações Paraíso e Ana Rosa);;;;;;;
** Demanda reduzida devido à pandemia do novo Coronavírus anunciada pela Organização Mundial da Saúde em 11/03.;;;;;;;
*** A Linha 15-Prata permaneceu fechada devido à inspeção da frota de trens motivada pelo rompimento de um pneu de uma composição;;;;;;;
Fonte: Diretoria de Operações / Coordenadoria de Informações Gerenciais e Estudos Estratégicos - 28/04/2020;;;;;;;
