INFORMAÇÕES SOBRE A DEMANDA - SETEMBRO/2020;;;;;;
;;;;;;
ENTRADA DE PASSAGEIROS POR LINHA¹ ²;;;;;;
;;;;;;
DEMANDA (milhares);Linha 1-Azul ;Linha 2-Verde;Linha 3-Vermelha;Linha 15-Prata;Rede;
Total;11.428;6.002;14.531;882;32.842;
Média dos dias úteis ;453;244;573;35;1.304;
Média dos Sábados ;294;130;373;23;820;
Média dos Domingos ;141;70;193;12;416;
Máxima Diária ;473;255;595;37;1.359;
¹ Corresponde às entradas pelas linhas de bloqueios;;;;;;
² Demanda reduzida devido à pandemia do novo Coronavírus anunciada pela Organização Mundial da Saúde em 11/03;;;;;;
Fonte: Diretoria de Operações / Coordenadoria de Informações Gerenciais e Estudos Estratégicos - 13/10/2020;;;;;;
;;;;;;
