INFORMAÇÕES SOBRE A DEMANDA - AGOSTO/2020;;;;;;;
;;;;;;;
PASSAGEIROS TRANSPORTADOS POR LINHA¹ ²;;;;;;;
;;;;;;;
DEMANDA (milhares);Linha 1-Azul ;Linha 2-Verde;Linha 3-Vermelha;Linha 15 - Prata;Rede;;
Total;14.306;7.393;15.807;1.333;38.838;;
Média dos dias úteis ;553;295;610;52;1.510;;
Média dos Sábados ;363;158;398;32;950;;
Média dos Domingos ;174;83;202;16;475;;
Máxima Diária ;596;314;660;57;1.626;;
¹ Corresponde à soma das entradas pela linha de bloqueios com as transferências entre linhas nas estações Sé, Paraíso, Ana Rosa e Vila Prudente;;;;;;;
² Demanda reduzida devido à pandemia do novo Coronavírus anunciada pela Organização Mundial da Saúde em 11/03;;;;;;;
Fonte: Diretoria de Operações / Coordenadoria de Informações Gerenciais e Estudos Estratégicos - 30/09/2020;;;;;;;
;;;;;;;
