INFORMAÇÕES SOBRE A DEMANDA - ABRIL/2019;;;;;
;;;;;
PASSAGEIROS TRANSPORTADOS POR LINHA¹;;;;;
;;;;;
DEMANDA (milhares);Linha 1-Azul ;Linha 2-Verde;Linha 3-Vermelha;Linha 15 - Prata ;Rede
Total;37.571;19.637;36.898;1.532;95.638
Média dos dias úteis ;1.525;818;1.477;64;3.884
Média dos Sábados ;816;347;861;27;2.051
Média dos Domingos ;459;216;492;14;1.180
Máxima Diária ;1.558;832;1.511;66;3.950
¹ Corresponde à soma das entradas pela linha de bloqueios com as transferências entre linhas nas estações Sé, Paraíso, Ana Rosa e Vila Prudente;;;;;
;;;;;
Fonte: Diretoria de Operações / Coordenadoria de Informações Gerenciais e Estudos Estratégicos - 14/05/2019;;;;;
