INFORMAÇÕES SOBRE A DEMANDA - AGOSTO/2018;;;;;;
;;;;;;
ENTRADA DE PASSAGEIROS POR LINHA¹;;;;;;
;;;;;;
DEMANDA (milhares);Linha 1 - Azul ;Linha 2 - Verde;Linha 3 - Vermelha;Linha 5 - Lilás² ;Linha 15 - Prata ;Rede
Total;27.733;14.509;32.413;876;282;75.813
Média dos dias úteis ;1.048;560;1.211;292;12;2.870
Média dos Sábados ;598;250;724;-;-;1.571
Média dos Domingos ;307;155;418;-;1;881
Máxima Diária ;1.086;581;1.248;295;13;2.928
¹ Corresponde às entradas pelas linhas de bloqueios.;;;;;;
² A partir de 04/08/18, a Linha 5 - Lilás passou a ser operada em regime de concessão pela Via Mobilidade.;;;;;;
Fonte: Diretoria de Operações / Coordenadoria de Informações Gerenciais e Estudos Estratégicos - 11/10/2018;;;;;;
