year_month,line,total,MDU (Business Days Mean),MSD (Saturdays Mean),MDO (Sundays Mean),MAX (Daily Max)
2018-08-01,3,38679000.0,1440000.0,884000.0,504000.0,1483000.0
2018-08-01,1,37775000.0,1420000.0,832000.0,446000.0,1466000.0
2018-08-01,15,516000.0,22000.0,,2000.0,23000.0
2018-08-01,2,18164000.0,701000.0,318000.0,194000.0,723000.0
2018-08-01,5,7220000.0,309000.0,176000.0,85000.0,322000.0
2018-08-01,4,20844000.0,797000.0,397000.0,229000.0,827000.0
2018-09-01,4,18080000.0,800000.0,411000.0,111000.0,841000.0
2018-09-01,5,7632000.0,323000.0,182000.0,93000.0,345000.0
2018-09-01,15,445000.0,23000.0,3000.0,2000.0,23000.0
2018-09-01,2,16246000.0,705000.0,321000.0,202000.0,733000.0
2018-09-01,1,34371000.0,1442000.0,822000.0,465000.0,1521000.0
2018-09-01,3,35197000.0,1457000.0,870000.0,515000.0,1544000.0
2018-10-01,4,18907000.0,761000.0,362000.0,118000.0,828000.0
2018-10-01,5,10897000.0,424000.0,227000.0,131000.0,502000.0
2018-10-01,3,38145000.0,1460000.0,854000.0,505000.0,1527000.0
2018-10-01,1,38308000.0,1477000.0,836000.0,482000.0,1524000.0
2018-10-01,15,498000.0,22000.0,,4000.0,25000.0
2018-10-01,2,18431000.0,731000.0,326000.0,204000.0,771000.0
2018-11-01,3,35008000.0,1493000.0,864000.0,523000.0,1571000.0
2018-11-01,1,35499000.0,1538000.0,843000.0,499000.0,1611000.0
2018-11-01,2,16888000.0,769000.0,326000.0,216000.0,804000.0
2018-11-01,4,16990000.0,735000.0,354000.0,213000.0,802000.0
2018-11-01,5,11833000.0,505000.0,268000.0,156000.0,552000.0
2018-11-01,15,398000.0,23000.0,6000.0,4000.0,25000.0
2018-12-01,5,12053000.0,478000.0,301000.0,178000.0,559000.0
2018-12-01,1,34213000.0,1425000.0,890000.0,543000.0,1585000.0
2018-12-01,2,16283000.0,711000.0,342000.0,237000.0,786000.0
2018-12-01,3,34178000.0,1399000.0,933000.0,573000.0,1552000.0
2018-12-01,15,710000.0,32000.0,14000.0,9000.0,37000.0
2018-12-01,4,16471000.0,666000.0,373000.0,233000.0,795000.0
2019-01-01,1,32037000.0,1258000.0,721000.0,454000.0,1362000.0
2019-01-01,3,31644000.0,1230000.0,736000.0,475000.0,1332000.0
2019-01-01,15,903000.0,37000.0,17000.0,11000.0,46000.0
2019-01-01,2,15982000.0,648000.0,292000.0,203000.0,724000.0
2019-01-01,5,11482000.0,456000.0,251000.0,150000.0,502000.0
2019-01-01,4,16121000.0,648000.0,313000.0,203000.0,713000.0
2019-02-01,5,12515000.0,535000.0,293000.0,163000.0,565000.0
2019-02-01,4,18136000.0,765000.0,437000.0,273000.0,808000.0
2019-02-01,15,1086000.0,48000.0,21000.0,9000.0,54000.0
2019-02-01,3,33962000.0,1420000.0,864000.0,526000.0,1492000.0
2019-02-01,1,34705000.0,1466000.0,851000.0,495000.0,1544000.0
2019-02-01,2,17728000.0,768000.0,360000.0,230000.0,808000.0
2019-03-01,3,36165000.0,1470000.0,890000.0,556000.0,1507000.0
2019-03-01,1,36580000.0,1519000.0,855000.0,493000.0,1550000.0
2019-03-01,2,18610000.0,807000.0,363000.0,230000.0,838000.0
2019-03-01,4,19278000.0,789000.0,438000.0,268000.0,835000.0
2019-03-01,5,13332000.0,555000.0,297000.0,167000.0,585000.0
2019-03-01,15,1374000.0,61000.0,25000.0,14000.0,72000.0
2019-04-01,5,14285000.0,582000.0,304000.0,166000.0,607000.0
2019-04-01,4,19644000.0,808000.0,387000.0,227000.0,843000.0
2019-04-01,15,1532000.0,64000.0,27000.0,14000.0,66000.0
2019-04-01,1,37571000.0,1525000.0,816000.0,459000.0,1558000.0
2019-04-01,2,19637000.0,818000.0,347000.0,216000.0,832000.0
2019-04-01,3,36898000.0,1477000.0,861000.0,492000.0,1511000.0
2019-05-01,5,14857000.0,584000.0,309000.0,143000.0,606000.0
2019-05-01,2,20076000.0,797000.0,358000.0,219000.0,849000.0
2019-05-01,3,38229000.0,1461000.0,893000.0,495000.0,1507000.0
2019-05-01,4,20654000.0,809000.0,393000.0,257000.0,848000.0
2019-05-01,1,38705000.0,1497000.0,848000.0,471000.0,1548000.0
2019-05-01,15,1808000.0,73000.0,31000.0,18000.0,77000.0
2019-06-01,5,12703000.0,543000.0,300000.0,164000.0,583000.0
2019-06-01,2,17003000.0,771000.0,343000.0,229000.0,801000.0
2019-06-01,1,32903000.0,1435000.0,813000.0,458000.0,1508000.0
2019-06-01,15,1644000.0,77000.0,33000.0,20000.0,79000.0
2019-06-01,4,18030000.0,780000.0,398000.0,247000.0,827000.0
2019-06-01,3,32737000.0,1411000.0,856000.0,458000.0,1477000.0
2019-07-01,15,1778000.0,72000.0,25000.0,20000.0,76000.0
2019-07-01,3,34013000.0,1294000.0,830000.0,481000.0,1329000.0
2019-07-01,2,17670000.0,701000.0,337000.0,218000.0,729000.0
2019-07-01,4,18518000.0,730000.0,378000.0,222000.0,760000.0
2019-07-01,5,13410000.0,523000.0,295000.0,163000.0,546000.0
2019-07-01,1,33892000.0,1299000.0,799000.0,462000.0,1331000.0
2019-08-01,5,15084000.0,586000.0,312000.0,159000.0,600000.0
2019-08-01,4,20689000.0,810000.0,394000.0,223000.0,838000.0
2019-08-01,3,37379000.0,1424000.0,837000.0,468000.0,1458000.0
2019-08-01,2,19825000.0,785000.0,345000.0,209000.0,809000.0
2019-08-01,15,2029000.0,82000.0,30000.0,20000.0,88000.0
2019-08-01,1,37779000.0,1454000.0,808000.0,439000.0,1497000.0
2019-09-01,2,19555000.0,808000.0,357000.0,234000.0,829000.0
2019-09-01,5,14755000.0,601000.0,312000.0,177000.0,629000.0
2019-09-01,4,19888000.0,818000.0,385000.0,234000.0,855000.0
2019-09-01,1,35968000.0,1443000.0,817000.0,481000.0,1491000.0
2019-09-01,15,2171000.0,90000.0,38000.0,25000.0,93000.0
2019-09-01,3,36261000.0,1447000.0,850000.0,495000.0,1504000.0
2019-10-01,4,21387000.0,818000.0,386000.0,255000.0,854000.0
2019-10-01,5,16098000.0,610000.0,325000.0,190000.0,625000.0
2019-10-01,1,39719000.0,1481000.0,914000.0,538000.0,1539000.0
2019-10-01,3,38994000.0,1454000.0,909000.0,520000.0,1513000.0
2019-10-01,2,21563000.0,827000.0,394000.0,256000.0,847000.0
2019-10-01,15,2420000.0,93000.0,47000.0,24000.0,95000.0
2019-11-01,4,19412000.0,836000.0,392000.0,238000.0,872000.0
2019-11-01,5,14569000.0,622000.0,316000.0,182000.0,644000.0
2019-11-01,2,19075000.0,830000.0,379000.0,240000.0,853000.0
2019-11-01,3,35360000.0,1463000.0,892000.0,506000.0,1513000.0
2019-11-01,15,2030000.0,94000.0,23000.0,24000.0,96000.0
2019-11-01,1,35360000.0,1477000.0,873000.0,491000.0,1532000.0
2019-12-01,15,1953000.0,87000.0,29000.0,17000.0,96000.0
2019-12-01,3,33225000.0,1332000.0,924000.0,557000.0,1479000.0
2019-12-01,2,17616000.0,745000.0,375000.0,260000.0,844000.0
2019-12-01,5,14031000.0,548000.0,217000.0,119000.0,649000.0
2019-12-01,1,32888000.0,1330000.0,887000.0,537000.0,1500000.0
2019-12-01,4,17788000.0,703000.0,400000.0,261000.0,859000.0
2020-01-01,5,13660000.0,535000.0,279000.0,167000.0,580000.0
2020-01-01,15,2419000.0,98000.0,35000.0,21000.0,111000.0
2020-01-01,3,31597000.0,1213000.0,721000.0,428000.0,1319000.0
2020-01-01,2,17665000.0,702000.0,308000.0,208000.0,775000.0
2020-01-01,4,17750000.0,702000.0,335000.0,202000.0,777000.0
2020-01-01,1,31546000.0,1214000.0,705000.0,428000.0,1344000.0
2020-02-01,15,2497000.0,116000.0,60000.0,27000.0,122000.0
2020-02-01,2,18033000.0,826000.0,390000.0,257000.0,870000.0
2020-02-01,5,13806000.0,587000.0,330000.0,196000.0,650000.0
2020-02-01,1,32483000.0,1410000.0,856000.0,494000.0,1483000.0
2020-02-01,4,18294000.0,763000.0,441000.0,310000.0,853000.0
2020-02-01,3,31992000.0,1382000.0,860000.0,528000.0,1451000.0
2020-03-01,15,,,,,
2020-03-01,2,12945000.0,515000.0,217000.0,148000.0,839000.0
2020-03-01,4,13139000.0,521000.0,232000.0,151000.0,861000.0
2020-03-01,5,10674000.0,419000.0,208000.0,126000.0,652000.0
2020-03-01,3,24332000.0,939000.0,511000.0,325000.0,1478000.0
2020-03-01,1,23635000.0,918000.0,484000.0,302000.0,1493000.0
2020-04-01,4,3806000.0,158000.0,83000.0,48000.0,174000.0
