INFORMAÇÕES SOBRE A DEMANDA - JULHO/2018;;;;;;
;;;;;;
PASSAGEIROS TRANSPORTADOS POR LINHA¹;;;;;;
;;;;;;
DEMANDA (milhares);Linha 1 - Azul ;Linha 2 - Verde;Linha 3 - Vermelha;Linha 5 - Lilás²;Linha 15 - Prata ;Rede
Total;32.512;15.368;33.836;6.983;427;89.128
Média dos dias úteis ;1.280;627;1.317;278;20;3.523
Média dos Sábados ;781;297;829;171;3;2.081
Média dos Domingos ;462;201;518;88;1;1.270
Máxima Diária ;1.346;661;1.369;284;21;3.675
¹ Corresponde à soma das entradas pela linha de bloqueios com as transferências entre linhas nas estações Sé, Paraíso, Ana Rosa e Vila Prudente;;;;;;
² Início da Operação Comercial das estações Alto da Boa Vista, Borba Gato e Brooklin em 27/11/2017 e da estação Eucaliptos em 02/04/2018.;;;;;;
Fonte: Diretoria de Operações / Coordenadoria de Informações Gerenciais e Estudos Estratégicos - 10/08/2018;;;;;;
