INFORMAÇÕES SOBRE A DEMANDA - JULHO/2018;;;;;;
;;;;;;
ENTRADA DE PASSAGEIROS POR LINHA¹;;;;;;
;;;;;;
DEMANDA (milhares);Linha 1 - Azul ;Linha 2 - Verde;Linha 3 - Vermelha;Linha 5 - Lilás² ;Linha 15 - Prata ;Rede
Total;23.676;12.262;28.345;6.983;230;71.497
Média dos dias úteis ;943;501;1.111;278;11;2.843
Média dos Sábados ;562;233;679;171;1;1.646
Média dos Domingos ;319;161;429;88;1;998
Máxima Diária ;994;528;1.152;284;12;2.963
¹ Corresponde às entradas pelas linhas de bloqueios;;;;;;
² Início da Operação Comercial das estações Alto da Boa Vista, Borba Gato e Brooklin em 27/11/2017 e da estação Eucaliptos em 02/04/2018.;;;;;;
Fonte: Diretoria de Operações / Coordenadoria de Informações Gerenciais e Estudos Estratégicos - 10/08/2018;;;;;;
